t,ref_now_deg,ref_aligned_deg,meas_deg,meas_lag1_deg,err_aligned_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.270000,19.938347,19.518335,18.566060,18.566060,0.952275,-143.104394,0.905191,0.892703,0
0.275000,19.960535,19.938347,18.566060,18.958183,1.372286,-55.956723,0.892703,0.887820,0
0.280000,19.584456,19.960535,18.958183,18.566060,1.002351,163.907995,0.887820,0.902124,0
0.285000,18.817615,19.584456,18.566060,17.650124,1.018396,311.264934,0.902124,0.929287,0
0.290000,17.675313,18.817615,17.650124,16.738759,1.167491,422.139560,0.929287,0.966125,0
0.295000,16.180340,17.675313,16.738759,15.832387,0.936554,566.764453,0.966125,1.015585,0
0.300000,14.362526,16.180340,15.832387,14.136062,0.347953,710.602709,1.015585,1.077597,0
0.305000,12.258141,14.362526,14.136062,12.439562,0.226464,737.445280,1.077597,1.141951,0
0.310000,9.909173,12.258141,12.439562,10.416028,-0.181421,879.489830,1.141951,1.218701,0
0.315000,7.362491,9.909173,10.416028,7.431408,-0.506855,1103.185465,1.218701,1.314972,0
0.320000,4.668907,7.362491,7.431408,4.557419,-0.068917,1150.770818,1.314972,1.415396,0
0.325000,1.882166,4.668907,4.557419,2.471665,0.111488,1119.203485,1.415396,1.513065,0
0.330000,-0.942129,1.882166,2.471665,-0.412193,-0.589498,1225.494682,1.513065,1.620009,0
0.335000,-3.747626,-0.942129,-0.412193,-2.882963,-0.529936,1220.237338,1.620009,1.726495,0
0.340000,-6.478348,-3.747626,-2.882963,-5.343056,-0.864663,1293.236458,1.726495,1.839351,0
0.345000,-9.079810,-6.478348,-5.343056,-7.839263,-1.135293,1342.860414,1.839351,1.956538,0
0.350000,-11.500105,-9.079810,-7.839263,-9.936390,-1.240547,1309.879249,1.956538,2.070846,0
0.355000,-13.690942,-11.500105,-9.936390,-12.037202,-1.563715,1254.541705,2.070846,2.180326,0
0.360000,-15.608608,-13.690942,-12.037202,-13.240520,-1.653740,1116.678845,2.180326,2.277774,0
0.365000,-17.214841,-15.608608,-13.240520,-14.931417,-2.368088,1069.360398,2.277774,2.371094,0
0.370000,-18.477591,-17.214841,-14.931417,-15.435862,-2.283423,837.480677,2.371094,2.444178,0
0.375000,-19.371663,-18.477591,-15.435862,-16.227361,-3.041729,731.739870,2.444178,2.508034,0
0.380000,-19.879219,-19.371663,-16.227361,-17.012547,-3.144302,465.296617,2.508034,2.548639,0
0.385000,-19.990131,-19.879219,-17.012547,-17.132996,-2.866672,106.947785,2.548639,2.557972,0
0.390000,-19.702187,-19.990131,-17.132996,-17.132996,-2.857135,-183.065382,2.557972,2.541996,0
0.395000,-19.021130,-19.702187,-17.132996,-16.342883,-2.569190,-492.486761,2.541996,2.499019,0
0.400000,-17.960552,-19.021130,-16.342883,-15.832387,-2.678248,-665.137492,2.499019,2.440975,0
0.405000,-16.541611,-17.960552,-15.832387,-14.638279,-2.128165,-915.338721,2.440975,2.361096,0
