t,ref_now_deg,ref_aligned_deg,meas_deg,meas_lag1_deg,err_raw_deg,err_aligned_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible,rmse_aligned
0.000000,1.569182,nan,0.000000,0.412193,1.569182,nan,-420.930129,1.614839,1.578106,0,1.576331
0.005000,3.128689,1.569182,0.412193,1.236408,2.716497,1.156989,-562.361753,1.578106,1.529030,0,1.576331
0.010000,4.668907,3.128689,1.236408,2.882963,3.432500,1.892282,-662.197200,1.529030,1.471243,0,1.576331
0.015000,6.180340,4.668907,2.882963,4.114909,3.297376,1.785944,-644.204485,1.471243,1.415025,0,1.576331
0.020000,7.653669,6.180340,4.114909,5.792796,3.538760,2.065431,-678.325257,1.415025,1.355830,0,1.576331
0.025000,9.079810,7.653669,5.792796,7.431408,3.287013,1.860872,-621.235954,1.355830,1.301617,0,1.576331
0.030000,10.449971,9.079810,7.431408,8.714733,3.018563,1.648402,-545.138026,1.301617,1.254045,0,1.576331
0.035000,11.755705,10.449971,8.714733,9.936390,3.040972,1.735238,-507.992442,1.254045,1.209714,0,1.576331
0.040000,12.988961,11.755705,9.936390,10.823011,3.052571,1.819315,-469.664090,1.209714,1.168728,0,1.576331
0.045000,14.142136,12.988961,10.823011,12.123738,3.319124,2.165950,-473.376849,1.168728,1.127418,0,1.576331
0.050000,15.208119,14.142136,12.123738,13.240520,3.084381,2.018397,-430.408873,1.127418,1.089858,0,1.576331
0.055000,16.180340,15.208119,13.240520,14.136062,2.939820,1.967599,-420.143448,1.089858,1.053194,0,1.576331
0.060000,17.052803,16.180340,14.136062,15.435862,2.916741,2.044278,-439.203294,1.053194,1.014866,0,1.576331
0.065000,17.820130,17.052803,15.435862,16.342883,2.384269,1.616941,-388.835390,1.014866,0.980934,0,1.576331
0.070000,18.477591,17.820130,16.342883,17.255111,2.134708,1.477248,-356.664030,0.980934,0.949809,0,1.576331
0.075000,19.021130,18.477591,17.255111,17.650124,1.766019,1.222480,-295.382117,0.949809,0.924032,0,1.576331
0.080000,19.447398,19.021130,17.650124,18.566060,1.797274,1.371006,-287.526302,0.924032,0.898941,0,1.576331
