t,ref_now_deg,ref_aligned_deg,meas_deg,meas_lag1_deg,err_raw_deg,err_aligned_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible,rmse_aligned
0.000000,1.569182,nan,-1.236408,0.000000,2.805590,nan,-606.244112,1.614839,1.561934,0,1.573308
0.005000,3.128689,1.569182,0.000000,1.648345,3.128689,1.569182,-621.328594,1.561934,1.507713,0,1.573308
0.010000,4.668907,3.128689,1.648345,2.471665,3.020563,1.480345,-603.919209,1.507713,1.455011,0,1.573308
0.015000,6.180340,4.668907,2.471665,4.557419,3.708675,2.197243,-706.443562,1.455011,1.393362,0,1.573308
0.020000,7.653669,6.180340,4.557419,5.792796,3.096250,1.622921,-610.385448,1.393362,1.340096,0,1.573308
0.025000,9.079810,7.653669,5.792796,7.485039,3.287013,1.860872,-615.420722,1.340096,1.286390,0,1.573308
0.030000,10.449971,9.079810,7.485039,8.714733,2.964932,1.594771,-525.557933,1.286390,1.240527,0,1.573308
0.035000,11.755705,10.449971,8.714733,10.007980,3.040972,1.735238,-497.331066,1.240527,1.197127,0,1.573308
0.040000,12.988961,11.755705,10.007980,11.228892,2.980981,1.747725,-451.358280,1.197127,1.157738,0,1.573308
0.045000,14.142136,12.988961,11.228892,12.123738,2.913244,1.760069,-418.278262,1.157738,1.121236,0,1.573308
0.050000,15.208119,14.142136,12.123738,13.240520,3.084381,2.018397,-431.001073,1.121236,1.083624,0,1.573308
0.055000,16.180340,15.208119,13.240520,14.534455,2.939820,1.967599,-424.542501,1.083624,1.046576,0,1.573308
0.060000,17.052803,16.180340,14.534455,15.037816,2.518348,1.645885,-392.548352,1.046576,1.012320,0,1.573308
0.065000,17.820130,17.052803,15.037816,16.738759,2.782315,2.014987,-445.528720,1.012320,0.973440,0,1.573308
0.070000,18.477591,17.820130,16.738759,17.255111,1.738832,1.081372,-301.754747,0.973440,0.947107,0,1.573308
0.075000,19.021130,18.477591,17.255111,17.650124,1.766019,1.222480,-295.421699,0.947107,0.921327,0,1.573308
0.080000,19.447398,19.021130,17.650124,18.566060,1.797274,1.371006,-287.511658,0.921327,0.896237,0,1.573308
0.085000,19.753767,19.447398,18.566060,18.958183,1.187707,0.881338,-184.522118,0.896237,0.880134,0,1.573308
0.090000,19.938347,19.753767,18.958183,19.486130,0.980163,0.795583,-140.768226,0.880134,0.867850,0,1.573308
0.095000,20.000000,19.938347,19.486130,19.876872,0.513870,0.452217,-59.503257,0.867850,0.862657,0,1.573308
0.100000,19.938347,20.000000,19.876872,19.876872,0.061474,0.123128,19.569176,0.862657,0.864365,0,1.573308
0.105000,19.753767,19.938347,19.876872,19.486130,-0.123105,0.061474,59.722795,0.864365,0.869576,0,1.573308
0.110000,19.447398,19.753767,19.486130,19.486130,-0.038731,0.267637,60.419259,0.869576,0.874849,0,1.573308
0.115000,19.021130,19.447398,19.486130,18.958183,-0.464999,-0.038731,135.336481,0.874849,0.886659,0,1.573308
0.120000,18.477591,19.021130,18.958183,18.958183,-0.480593,0.062947,148.948135,0.886659,0.899658,0,1.573308
0.125000,17.820130,18.477591,18.958183,18.043412,-1.138053,-0.480593,254.345764,0.899658,0.921853,0,1.573308
0.130000,17.052803,17.820130,18.043412,17.650124,-0.990609,-0.223282,233.948388,0.921853,0.942269,0,1.573308
0.135000,16.180340,17.052803,17.650124,17.255111,-1.469784,-0.597321,301.488533,0.942269,0.968579,0,1.573308
0.140000,15.208119,16.180340,17.255111,16.342883,-2.046992,-1.074771,368.189495,0.968579,1.000710,0,1.573308
0.145000,14.142136,15.208119,16.342883,15.435862,-2.200747,-1.134763,366.457616,1.000710,1.032689,0,1.573308
0.150000,12.988961,14.142136,15.435862,14.638279,-2.446901,-1.293726,381.264092,1.032689,1.065961,0,1.573308
