t,ref_now_deg,meas_deg,err_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,0.188491,2.924978,-2.736487,9.290944,1.135558,1.151774,0
1.024718,2.629305,0.418210,2.211095,-5.710899,1.151774,1.114156,0
1.744692,4.139367,1.672394,2.466973,-3.844621,1.114156,1.081935,0
2.464327,5.550503,2.507702,3.042801,-3.516070,1.081935,1.048059,0
3.185021,6.873002,3.341944,3.531058,-3.167512,1.048059,1.014744,0
3.904456,8.104327,4.590543,3.513784,-2.581685,1.014744,0.986011,0
4.622909,9.245365,5.877393,3.367972,-2.135802,0.986011,0.961338,0
5.344485,10.301534,6.293948,4.007585,-2.276238,0.961338,0.934331,0
6.072773,11.272983,7.125016,4.147966,-2.148502,0.934331,0.908294,0
6.793003,12.129842,7.953082,4.176760,-2.047032,0.908294,0.883209,0
7.512944,12.882644,8.841815,4.040830,-1.911005,0.883209,0.859613,0
8.232828,13.527139,9.598903,3.928236,-1.815416,0.859613,0.837079,0
8.985380,14.086831,10.080598,4.006233,-1.762025,0.837079,0.814826,0
9.704813,14.493994,10.901268,3.592727,-1.566023,0.814826,0.795083,0
10.425260,14.783725,11.802434,2.981291,-1.277457,0.795083,0.778990,0
11.154199,14.954221,12.619322,2.334899,-0.971141,0.778990,0.766720,0
11.905976,14.997736,12.619322,2.378414,-0.941370,0.766720,0.754688,0
12.626625,14.913420,13.025841,1.887579,-0.735488,0.754688,0.745333,0
13.346960,14.707826,13.528315,1.179510,-0.452060,0.745333,0.739603,0
14.099752,14.359447,13.934835,0.424612,-0.155327,0.739603,0.737612,0
14.820185,13.911490,13.934835,-0.023345,0.010192,0.737612,0.737742,0
15.541384,13.348972,13.934835,-0.585863,0.222092,0.737742,0.740562,0
16.270802,12.666111,13.934835,-1.268724,0.482984,0.740562,0.746699,0
16.990438,11.891565,13.528315,-1.636751,0.639838,0.746699,0.754801,0
17.744330,10.962426,13.025841,-2.063415,0.801705,0.754801,0.765072,0
18.468439,9.990902,13.025841,-3.034939,1.217876,0.765072,0.780611,0
19.188110,8.944770,12.211508,-3.266738,1.362807,0.780611,0.797918,0
19.908643,7.822774,11.802434,-3.979661,1.707276,0.797918,0.819536,0
20.628900,6.636591,10.901268,-4.264677,1.869094,0.819536,0.843152,0
21.349633,5.394396,10.080598,-4.686202,2.082278,0.843152,0.869426,0
22.102123,4.032680,9.668669,-5.635989,2.462139,0.869426,0.900875,0
22.822451,2.716551,8.426969,-5.710418,2.584302,0.900875,0.933728,0
23.543504,1.374683,7.539445,-6.164762,2.940022,0.933728,0.970990,0
24.264486,0.020533,6.293948,-6.273415,3.252879,0.970990,1.012130,0
24.986312,-1.336720,5.005833,-6.342553,3.689227,1.012130,1.058733,0
25.705475,-2.677054,3.341944,-6.018998,4.041335,1.058733,1.109687,0
26.425483,-3.998375,2.090159,-6.088534,4.711895,1.109687,1.169037,0
27.178910,-5.363988,0.418210,-5.782197,4.934809,1.169037,1.232015,0
27.933399,-6.677837,-0.836375,-5.841461,5.300250,1.232015,1.300302,0
28.654830,-7.858349,-2.924978,-4.933372,4.741654,1.300302,1.360977,0
29.375970,-8.976920,-4.590543,-4.386377,4.339017,1.360977,1.416226,0
30.098133,-10.025940,-5.877393,-4.148547,4.186833,1.416226,1.469376,0
30.820929,-10.994861,-7.125016,-3.869844,3.997675,1.469376,1.520029,0
31.539768,-11.868023,-8.011232,-3.856791,4.119436,1.520029,1.572071,0
32.260278,-12.647836,-9.668669,-2.979168,3.334519,1.572071,1.614139,0
33.013145,-13.360809,-10.568014,-2.792795,3.185830,1.614139,1.654832,0
33.734815,-13.921249,-11.392136,-2.529113,3.047091,1.654832,1.693590,0
34.456578,-14.368803,-12.211508,-2.157294,2.746140,1.693590,1.728420,0
35.178225,-14.699103,-13.120403,-1.578700,2.114457,1.728420,1.755182,0
35.899837,-14.909195,-13.120403,-1.788792,2.473092,1.755182,1.786436,0
36.621820,-14.997165,-14.036243,-0.960922,1.378646,1.786436,1.803845,0
37.343347,-14.962043,-14.444036,-0.518008,0.734544,1.803845,1.813112,0
