t,ref_now_deg,ref_aligned_deg,meas_deg,meas_lag1_deg,err_raw_deg,err_aligned_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible,rmse_aligned
0.000000,2.194686,nan,0.000000,0.824343,2.194686,nan,-584.279480,1.614839,1.563851,0,2.117944
0.005000,4.362865,2.194686,0.824343,2.471665,3.538522,1.370343,-739.838456,1.563851,1.499288,0,2.117944
0.010000,6.478348,4.362865,2.471665,4.144624,4.006684,1.891200,-804.858033,1.499288,1.429051,0,2.117944
0.015000,8.515586,6.478348,4.144624,6.203448,4.370962,2.333725,-850.423440,1.429051,1.354837,0,2.117944
0.020000,10.449971,8.515586,6.203448,7.895765,4.246523,2.312138,-785.629130,1.354837,1.286278,0,2.117944
0.025000,12.258141,10.449971,7.895765,9.530128,4.362376,2.554206,-729.018317,1.286278,1.222659,0,2.117944
0.030000,13.918256,12.258141,9.530128,10.745857,4.388128,2.728013,-659.262727,1.222659,1.165128,0,2.117944
0.035000,15.410265,13.918256,10.745857,12.439562,4.664408,3.172399,-645.086747,1.165128,1.108833,0,2.117944
0.040000,16.716147,15.410265,12.439562,14.136062,4.276585,2.970703,-592.516165,1.108833,1.057127,0,2.117944
0.045000,17.820130,16.716147,14.136062,15.435862,3.684069,2.580085,-548.602200,1.057127,1.009252,0,2.117944
0.050000,18.708881,17.820130,15.435862,16.738759,3.273019,2.384269,-513.516274,1.009252,0.964439,0,2.117944
0.055000,19.371663,18.708881,16.738759,17.650124,2.632905,1.970122,-412.457620,0.964439,0.928445,0,2.117944
0.060000,19.800473,19.371663,17.650124,18.566060,2.150349,1.721539,-317.723460,0.928445,0.900719,0,2.117944
0.065000,19.990131,19.800473,18.566060,19.348472,1.424071,1.234413,-185.119868,0.900719,0.884564,0,2.117944
0.070000,19.938347,19.990131,19.348472,19.348472,0.589875,0.641660,-37.303961,0.884564,0.881309,0,2.117944
0.075000,19.645745,19.938347,19.348472,18.958183,0.297273,0.589875,30.485062,0.881309,0.883969,0,2.117944
0.080000,19.115860,19.645745,18.958183,18.958183,0.157677,0.687562,74.113341,0.883969,0.890437,0,2.117944
0.085000,18.355093,19.115860,18.958183,18.566060,-0.603091,0.157677,205.779929,0.890437,0.908394,0,2.117944
0.090000,17.372630,18.355093,18.566060,18.043412,-1.193430,-0.210968,301.572558,0.908394,0.934712,0,2.117944
0.095000,16.180340,17.372630,18.043412,17.255111,-1.863072,-0.670782,391.621103,0.934712,0.968887,0,2.117944
0.100000,14.792622,16.180340,17.255111,16.342883,-2.462489,-1.074771,449.877599,0.968887,1.008146,0,2.117944
0.105000,13.226237,14.792622,16.342883,15.037816,-3.116645,-1.550261,505.381739,1.008146,1.052249,0,2.117944
0.110000,11.500105,13.226237,15.037816,13.736268,-3.537711,-1.811579,542.098538,1.052249,1.099556,0,2.117944
0.115000,9.635073,11.500105,13.736268,12.439562,-4.101195,-2.236163,649.855700,1.099556,1.156267,0,2.117944
0.120000,7.653669,9.635073,12.439562,10.007980,-4.785893,-2.804489,861.746731,1.156267,1.231468,0,2.117944
0.125000,5.579822,7.653669,10.007980,7.485039,-4.428158,-2.354311,894.559423,1.231468,1.309533,0,2.117944
0.130000,3.438582,5.579822,7.485039,5.792796,-4.046457,-1.905217,832.251560,1.309533,1.382161,0,2.117944
0.135000,1.255810,3.438582,5.792796,3.704627,-4.536986,-2.354214,901.339007,1.382161,1.460818,0,2.117944
0.140000,-0.942129,1.255810,3.704627,1.648345,-4.646756,-2.448817,937.864994,1.460818,1.542662,0,2.117944
0.145000,-3.128689,-0.942129,1.648345,-0.412193,-4.777034,-2.590474,1010.451536,1.542662,1.630840,0,2.117944
0.150000,-5.277461,-3.128689,-0.412193,-3.293965,-4.865268,-2.716497,1116.910074,1.630840,1.728309,0,2.117944
