t,ref_now_deg,ref_aligned_deg,meas_deg,meas_lag1_deg,err_raw_deg,err_aligned_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible,rmse_aligned
0.000000,1.569182,nan,0.440728,1.762391,1.128454,nan,-563.965278,2.377161,2.327946,0,0.534259
0.005000,3.128689,1.569182,1.762391,2.663001,1.366298,-0.193209,-604.609637,2.327946,2.275184,0,0.534259
0.010000,4.668907,3.128689,2.663001,3.960312,2.005907,0.465689,-704.436952,2.275184,2.213710,0,0.534259
0.015000,6.180340,4.668907,3.960312,5.799218,2.220028,0.708595,-715.744590,2.213710,2.151249,0,0.534259
0.020000,7.653669,6.180340,5.799218,7.125016,1.854451,0.381122,-619.943169,2.151249,2.097149,0,0.534259
0.025000,9.079810,7.653669,7.125016,8.443191,1.954794,0.528652,-609.144836,2.097149,2.043991,0,0.534259
0.030000,10.449971,9.079810,8.443191,9.827724,2.006780,0.636619,-597.284658,2.043991,1.991868,0,0.534259
0.035000,11.755705,10.449971,9.827724,11.136309,1.927981,0.622247,-571.679015,1.991868,1.941980,0,0.534259
0.040000,12.988961,11.755705,11.136309,12.528808,1.852652,0.619396,-552.579911,1.941980,1.893758,0,0.534259
0.045000,14.142136,12.988961,12.528808,nan,1.613328,0.460153,-507.055074,1.893758,1.849509,0,0.534259
