t,ref_now_deg,meas_deg,err_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,nan,0.000000,nan,-1642.957482,0.932235,0.788860,0
0.005000,11.431663,4.159642,7.272021,-1413.516301,0.788860,0.665508,0
0.010000,15.598436,8.350753,7.247683,-1208.279576,0.665508,0.560065,0
0.015000,19.271406,12.642152,6.629254,-982.975262,0.560065,0.474285,0
0.020000,22.374040,15.945396,6.428644,-863.954857,0.474285,0.398890,0
0.025000,24.852193,19.093492,5.758701,-742.980846,0.398890,0.334053,0
0.030000,26.675937,21.898193,4.777744,-578.512889,0.334053,0.283568,0
0.035000,27.840385,24.227745,3.612640,-389.140249,0.283568,0.249609,0
0.040000,28.365499,25.866357,2.499142,-218.677218,0.249609,0.230526,0
0.045000,28.294862,27.030860,1.264002,-47.366216,0.230526,0.226393,0
0.050000,27.693505,27.030860,0.662645,55.548026,0.226393,0.231240,0
0.055000,26.644844,26.796081,-0.151237,167.563149,0.231240,0.245863,0
0.060000,25.246888,25.866357,-0.619468,235.348713,0.245863,0.266401,0
0.065000,23.607853,24.702430,-1.094578,292.897334,0.266401,0.291961,0
0.070000,21.841379,23.540039,-1.698660,353.055304,0.291961,0.322771,0
0.075000,20.061556,22.380135,-2.318579,405.110723,0.322771,0.358123,0
0.080000,18.377944,21.223657,-2.845713,435.421541,0.358123,0.396121,0
0.085000,16.890822,19.583994,-2.693172,385.683384,0.396121,0.429778,0
0.090000,15.686849,18.434949,-2.748100,347.578880,0.429778,0.460110,0
0.095000,14.835321,16.949224,-2.113904,241.546229,0.460110,0.481189,0
0.100000,14.385180,16.448608,-2.063429,190.365179,0.481189,0.497802,0
0.105000,14.362906,14.796762,-0.433857,-9.652627,0.497802,0.496959,0
0.110000,14.771371,15.802514,-1.031143,3.141413,0.496959,0.497234,0
0.115000,15.589710,15.662106,-0.072396,-126.128537,0.497234,0.486227,0
0.120000,16.774209,15.439646,1.334563,-289.899179,0.486227,0.460928,0
0.125000,18.260175,16.301708,1.958466,-370.970791,0.460928,0.428555,0
0.130000,19.964715,18.434949,1.529766,-344.707765,0.428555,0.398474,0
0.135000,21.790301,19.093492,2.696809,-459.928522,0.398474,0.358337,0
0.140000,23.628972,21.223657,2.405315,-421.899181,0.358337,0.321520,0
0.145000,25.367003,22.380135,2.986868,-449.087990,0.321520,0.282329,0
0.150000,26.889845,24.227745,2.662100,-374.262625,0.282329,0.249669,0
0.155000,28.087124,25.866357,2.220767,-282.626888,0.249669,0.225005,0
0.160000,28.857494,26.565051,2.292443,-233.512882,0.225005,0.204627,0
0.165000,29.113144,27.734191,1.378954,-84.528150,0.204627,0.197250,0
0.170000,28.783763,28.194979,0.588784,59.606079,0.197250,0.202452,0
0.175000,27.819799,27.734191,0.085608,178.572976,0.202452,0.218036,0
0.180000,26.194880,27.030860,-0.835980,334.708567,0.218036,0.247244,0
0.185000,23.907288,25.866357,-1.959069,506.088757,0.247244,0.291409,0
0.190000,20.980420,23.540039,-2.559619,633.639740,0.291409,0.346704,0
0.195000,17.462226,21.223657,-3.761431,819.390261,0.346704,0.418210,0
0.200000,13.423634,18.600066,-5.176432,988.314341,0.418210,0.504456,0
0.205000,8.956032,15.164461,-6.208429,1110.845644,0.504456,0.601396,0
0.210000,4.167901,11.003541,-6.835639,1268.929988,0.601396,0.712131,0
0.215000,-0.819249,7.319019,-8.138268,1543.818178,0.712131,0.846855,0
0.220000,-5.875494,2.602562,-8.478056,1769.172602,0.846855,1.001244,0
0.225000,-10.867450,-2.626406,-8.241045,1980.469119,1.001244,1.174073,0
0.230000,-15.663386,-7.386043,-8.277343,2143.337637,1.174073,1.361114,0
0.235000,-20.138262,-12.242331,-7.895930,2149.608800,1.361114,1.548703,0
0.240000,-24.178504,-17.258954,-6.919550,2163.070775,1.548703,1.737466,0
0.245000,-27.686316,-21.113500,-6.572816,2183.063064,1.737466,1.927975,0
0.250000,-30.583343,-24.443955,-6.139388,1924.421249,1.927975,2.095912,0
0.255000,-32.813543,-27.040524,-5.773019,1577.104881,2.095912,2.233540,0
0.260000,-34.345151,-28.694904,-5.650247,1139.583517,2.233540,2.332988,0
0.265000,-35.171655,-29.415599,-5.756056,662.093982,2.332988,2.390766,0
0.270000,-35.311738,-29.678490,-5.633248,157.379816,2.390766,2.404500,0
0.275000,-34.808204,-30.141386,-4.666818,-435.633968,2.404500,2.366484,0
0.280000,-33.725921,-29.678490,-4.047431,-766.107141,2.366484,2.299629,0
0.285000,-32.148875,-29.415599,-2.733276,-1092.461667,2.299629,2.204293,0
0.290000,-30.176461,-28.228776,-1.947685,-1138.246840,2.204293,2.104963,0
0.295000,-27.919160,-27.040524,-0.878636,-1184.337670,2.104963,2.001610,0
0.300000,-25.493781,-25.851863,0.358082,-1248.432905,2.001610,1.892663,0
0.305000,-23.018483,-24.179107,1.160624,-1229.140686,1.892663,1.785401,0
0.310000,-20.607764,-22.293629,1.685866,-1151.309404,1.785401,1.684930,0
0.315000,-18.367633,-20.119633,1.752000,-960.430645,1.684930,1.601116,0
0.320000,-16.391179,-18.939004,2.547825,-906.299067,1.601116,1.522027,0
0.325000,-14.754697,-17.102729,2.348032,-686.905220,1.522027,1.462083,0
0.330000,-13.514552,-15.439646,1.925093,-468.492384,1.462083,1.421199,0
0.335000,-12.704904,-14.931417,2.226513,-396.083219,1.421199,1.386635,0
0.340000,-12.336388,-13.781597,1.445209,-165.413411,1.386635,1.372200,0
0.345000,-12.395800,-13.270644,0.874844,13.181272,1.372200,1.373350,0
0.350000,-12.846809,-13.270644,0.423835,156.608398,1.373350,1.387017,0
0.355000,-13.631661,-13.781597,0.149936,254.389662,1.387017,1.409216,0
0.360000,-14.673798,-14.420773,-0.253025,352.781674,1.409216,1.440002,0
