t,ref_now_deg,meas_deg,err_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,nan,1.041627,nan,-154.865442,0.899357,0.885843,0
0.005000,1.569182,1.041627,0.527555,-343.631712,0.885843,0.855855,0
0.010000,3.128689,2.082565,1.046124,-391.537199,0.855855,0.821687,0
0.015000,4.668907,3.150716,1.518191,-429.346932,0.821687,0.784220,0
0.020000,6.180340,4.159642,2.020698,-467.194262,0.784220,0.743449,0
0.025000,7.653669,5.710593,1.943076,-435.841744,0.743449,0.705415,0
0.030000,9.079810,7.319019,1.760791,-394.574938,0.705415,0.670982,0
0.035000,10.449971,8.350753,2.099219,-411.751718,0.670982,0.635050,0
0.040000,11.755705,9.977713,1.777992,-356.254146,0.635050,0.603961,0
0.045000,12.988961,11.003541,1.985420,-358.576115,0.603961,0.572669,0
0.050000,14.142136,12.131321,2.010815,-341.648559,0.572669,0.542854,0
0.055000,15.208119,13.150949,2.057171,-328.048937,0.542854,0.514227,0
0.060000,16.180340,14.796762,1.383578,-244.002449,0.514227,0.492933,0
0.065000,17.052803,15.300846,1.751958,-266.180289,0.492933,0.469705,0
0.070000,17.820130,16.448608,1.371522,-214.296382,0.469705,0.451004,0
0.075000,18.477591,17.447188,1.030402,-166.515441,0.451004,0.436473,0
0.080000,19.021130,18.103763,0.917367,-141.036626,0.436473,0.424165,0
0.085000,19.447398,18.600066,0.847333,-119.398805,0.424165,0.413745,0
0.090000,19.753767,18.434949,1.318818,-151.724990,0.413745,0.400505,0
0.095000,19.938347,19.093492,0.844855,-88.933101,0.400505,0.392744,0
0.100000,20.000000,19.759471,0.240529,-12.486873,0.392744,0.391654,0
0.105000,19.938347,19.759471,0.178876,9.274406,0.391654,0.392464,0
0.110000,19.753767,19.759471,-0.005704,43.260766,0.392464,0.396239,0
0.115000,19.447398,19.759471,-0.312072,89.176075,0.396239,0.404021,0
0.120000,19.021130,19.265264,-0.244134,96.797203,0.404021,0.412468,0
0.125000,18.477591,18.600066,-0.122475,98.480510,0.412468,0.421062,0
0.130000,17.820130,18.600066,-0.779935,177.671471,0.421062,0.436567,0
0.135000,17.052803,17.942447,-0.889644,200.708810,0.436567,0.454082,0
0.140000,16.180340,17.447188,-1.266849,249.631422,0.454082,0.475867,0
0.145000,15.208119,16.448608,-1.240489,257.962042,0.475867,0.498378,0
0.150000,14.142136,15.300846,-1.158710,261.102245,0.498378,0.521164,0
