t,ref_now_deg,meas_deg,err_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,nan,1.041627,nan,-73.304881,0.899357,0.892960,0
0.005000,1.569182,1.041627,0.527555,-288.552123,0.892960,0.867779,0
0.010000,3.128689,1.576550,1.552139,-419.178607,0.867779,0.831199,0
0.015000,4.668907,2.602562,2.066345,-471.438208,0.831199,0.790058,0
0.020000,6.180340,4.159642,2.020698,-446.551410,0.790058,0.751089,0
0.025000,7.653669,5.241820,2.411849,-477.263836,0.751089,0.709440,0
0.030000,9.079810,6.801315,2.278495,-441.128797,0.709440,0.670945,0
0.035000,10.449971,8.350753,2.099219,-401.078928,0.670945,0.635944,0
0.040000,11.755705,9.977713,1.777992,-346.142710,0.635944,0.605737,0
0.045000,12.988961,11.003541,1.985420,-353.110680,0.605737,0.574922,0
0.050000,14.142136,12.131321,2.010815,-338.890880,0.574922,0.545349,0
0.055000,15.208119,13.150949,2.057171,-327.766593,0.545349,0.516746,0
0.060000,16.180340,14.796762,1.383578,-240.990665,0.516746,0.495715,0
0.065000,17.052803,15.802514,1.250289,-214.333223,0.495715,0.477011,0
0.070000,17.820130,15.945396,1.874735,-268.512424,0.477011,0.453579,0
0.075000,18.477591,16.949224,1.528366,-220.080895,0.453579,0.434373,0
0.080000,19.021130,17.942447,1.078683,-160.503687,0.434373,0.420367,0
0.085000,19.447398,18.103763,1.343635,-176.647576,0.420367,0.404951,0
0.090000,19.753767,19.265264,0.488503,-72.377394,0.404951,0.398635,0
0.095000,19.938347,19.093492,0.844855,-97.643916,0.398635,0.390114,0
0.100000,20.000000,19.759471,0.240529,-19.307517,0.390114,0.388429,0
0.105000,19.938347,19.759471,0.178876,0.615899,0.388429,0.388483,0
0.110000,19.753767,19.583994,0.169773,14.749139,0.388483,0.389770,0
0.115000,19.447398,19.583994,-0.136595,60.759045,0.389770,0.395072,0
0.120000,19.021130,19.583994,-0.562863,119.283257,0.395072,0.405482,0
0.125000,18.477591,19.093492,-0.615901,136.905966,0.405482,0.417429,0
0.130000,17.820130,18.434949,-0.614818,148.095842,0.417429,0.430353,0
0.135000,17.052803,18.600066,-1.547263,258.335268,0.430353,0.452897,0
0.140000,16.180340,17.292449,-1.112110,221.424649,0.452897,0.472220,0
0.145000,15.208119,16.448608,-1.240489,244.579124,0.472220,0.493563,0
0.150000,14.142136,15.802514,-1.660378,298.779032,0.493563,0.519637,0
0.155000,12.988961,14.796762,-1.807801,325.182882,0.519637,0.548014,0
0.160000,11.755705,13.150949,-1.395244,292.657400,0.548014,0.573553,0
0.165000,10.449971,12.642152,-2.192181,392.018709,0.573553,0.607764,0
0.170000,9.079810,11.003541,-1.923731,377.422517,0.607764,0.640700,0
0.175000,7.653669,9.977713,-2.324044,437.979171,0.640700,0.678921,0
0.180000,6.180340,8.350753,-2.170413,436.066377,0.678921,0.716975,0
0.185000,4.668907,6.801315,-2.132408,446.277596,0.716975,0.755920,0
0.190000,3.128689,5.194429,-2.065740,452.308322,0.755920,0.795391,0
0.195000,1.569182,4.159642,-2.590460,533.677570,0.795391,0.841963,0
0.200000,-0.000000,2.082565,-2.082565,485.169771,0.841963,0.884302,0
0.205000,-1.569182,1.041627,-2.610809,572.673884,0.884302,0.934278,0
0.210000,-3.128689,0.000000,-3.128689,666.499134,0.934278,0.992441,0
0.215000,-4.668907,-2.101654,-2.567253,607.186295,0.992441,1.045428,0
0.220000,-6.180340,-3.674500,-2.505840,612.222690,1.045428,1.098854,0
0.225000,-7.653669,-5.241820,-2.411849,606.723450,1.098854,1.151801,0
0.230000,-9.079810,-6.801315,-2.278495,589.010439,1.151801,1.203202,0
0.235000,-10.449971,-8.426969,-2.023002,545.994467,1.203202,1.250849,0
0.240000,-11.755705,-9.462322,-2.293383,585.808120,1.250849,1.301970,0
0.245000,-12.988961,-11.103833,-1.885128,511.610429,1.301970,1.346616,0
0.250000,-14.142136,-12.131321,-2.010815,525.330325,1.346616,1.392460,0
0.255000,-15.208119,-13.270644,-1.937475,505.605083,1.392460,1.436582,0
0.260000,-16.180340,-14.420773,-1.759567,466.861613,1.436582,1.477324,0
0.265000,-17.052803,-15.439646,-1.613158,431.536489,1.477324,1.514983,0
0.270000,-17.820130,-16.090816,-1.729314,442.114487,1.514983,1.553564,0
0.275000,-18.477591,-17.102729,-1.374862,363.386806,1.553564,1.585276,0
0.280000,-19.021130,-18.267906,-0.753224,227.404023,1.585276,1.605120,0
0.285000,-19.447398,-17.764853,-1.682545,387.481515,1.605120,1.638935,0
0.290000,-19.753767,-18.939004,-0.814763,197.892618,1.638935,1.656204,0
0.295000,-19.938347,-19.440035,-0.498312,111.721586,1.656204,1.665954,0
0.300000,-20.000000,-19.440035,-0.559965,99.817355,1.665954,1.674664,0
0.305000,-19.938347,-19.937992,-0.000355,-37.027859,1.674664,1.671433,0
0.310000,-19.753767,-19.937992,0.184225,-98.483206,1.671433,1.662839,0
0.315000,-19.447398,-19.440035,-0.007364,-83.806261,1.662839,1.655525,0
0.320000,-19.021130,-19.440035,0.418905,-191.967740,1.655525,1.638773,0
0.325000,-18.477591,-18.939004,0.461414,-221.546383,1.638773,1.619439,0
0.330000,-17.820130,-18.939004,1.118874,-370.107476,1.619439,1.587141,0
0.335000,-17.052803,-17.764853,0.712050,-305.798472,1.587141,1.560455,0
0.340000,-16.180340,-17.764853,1.584513,-486.203241,1.560455,1.518026,0
0.345000,-15.208119,-16.598104,1.389985,-455.738016,1.518026,1.478256,0
0.350000,-14.142136,-15.439646,1.297510,-444.494075,1.478256,1.439466,0
0.355000,-12.988961,-14.931417,1.942456,-564.122945,1.439466,1.390237,0
0.360000,-11.755705,-13.270644,1.514939,-489.674745,1.390237,1.347505,0
0.365000,-10.449971,-12.131321,1.681350,-521.171965,1.347505,1.302024,0
0.370000,-9.079810,-11.103833,2.024023,-580.971633,1.302024,1.251325,0
0.375000,-7.653669,-10.069063,2.415394,-646.032996,1.251325,1.194948,0
0.380000,-6.180340,-7.907163,1.726823,-529.911820,1.194948,1.148704,0
0.385000,-4.668907,-7.319019,2.650112,-675.722331,1.148704,1.089736,0
0.390000,-3.128689,-5.815627,2.686937,-668.491696,1.089736,1.031399,0
0.395000,-1.569182,-3.674500,2.105318,-560.754618,1.031399,0.982464,0
0.400000,0.000000,-2.101654,2.101654,-542.754933,0.982464,0.935100,0
0.405000,1.569182,-0.525635,2.094817,-521.990341,0.935100,0.889548,0
0.410000,3.128689,0.520856,2.607833,-571.966259,0.889548,0.839634,0
0.415000,4.668907,2.602562,2.066345,-474.491349,0.839634,0.798227,0
0.420000,6.180340,3.641185,2.539155,-515.862143,0.798227,0.753210,0
0.425000,7.653669,5.194429,2.459240,-483.860941,0.753210,0.710985,0
0.430000,9.079810,6.801315,2.278495,-441.586261,0.710985,0.672449,0
0.435000,10.449971,8.350753,2.099219,-401.492915,0.672449,0.637412,0
0.440000,11.755705,9.462322,2.293383,-405.808714,0.637412,0.601999,0
0.445000,12.988961,11.003541,1.985420,-352.178463,0.601999,0.571265,0
0.450000,14.142136,12.131321,2.010815,-338.083453,0.571265,0.541762,0
0.455000,15.208119,13.150949,2.057171,-327.148172,0.541762,0.513213,0
0.460000,16.180340,14.796762,1.383578,-240.706733,0.513213,0.492207,0
0.465000,17.052803,15.802514,1.250289,-214.212225,0.492207,0.473514,0
0.470000,17.820130,15.945396,1.874735,-268.509273,0.473514,0.450082,0
0.475000,18.477591,17.447188,1.030402,-167.284524,0.450082,0.435484,0
0.480000,19.021130,18.103763,0.917367,-143.259232,0.435484,0.422982,0
0.485000,19.447398,18.103763,1.343635,-176.516196,0.422982,0.407578,0
0.490000,19.753767,19.093492,0.660275,-90.781537,0.407578,0.399656,0
0.495000,19.938347,19.265264,0.673082,-79.120450,0.399656,0.392751,0
