t,ref_now_deg,meas_deg,err_raw_deg
0.000000,0.000000,-0.412193,0.412193
0.005000,1.569182,-0.412193,1.981375
0.010000,3.128689,1.030183,2.098506
0.015000,4.668907,2.039220,2.629687
0.020000,6.180340,2.917542,3.262798
0.025000,7.653669,4.642345,3.011323
0.030000,9.079810,6.022126,3.057684
0.035000,10.449971,7.008623,3.441348
0.040000,11.755705,8.488614,3.267091
0.045000,12.988961,9.552170,3.436791
0.050000,14.142136,11.009195,3.132941
0.055000,15.208119,12.072924,3.135195
0.060000,16.180340,13.237265,2.943075
0.065000,17.052803,14.145298,2.907505
0.070000,17.820130,15.326260,2.493870
0.075000,18.477591,16.037896,2.439695
0.080000,19.021130,16.889946,2.131184
0.085000,19.447398,17.697372,1.750026
0.090000,19.753767,17.939600,1.814167
0.095000,19.938347,18.925810,1.012537
0.100000,20.000000,18.948471,1.051529
0.105000,19.938347,19.228471,0.709875
0.110000,19.753767,19.312472,0.441295
0.115000,19.447398,19.337672,0.109727
0.120000,19.021130,19.072030,-0.050900
0.125000,18.477591,18.992337,-0.514747
0.130000,17.820130,18.328090,-0.507959
0.135000,17.052803,18.128815,-1.076012
0.140000,16.180340,17.155776,-0.975436
0.145000,15.208119,16.863864,-1.655744
0.150000,14.142136,16.141830,-1.999694
0.155000,12.988961,15.016667,-2.027707
0.160000,11.755705,14.400244,-2.644538
0.165000,10.449971,13.027766,-2.577795
0.170000,9.079810,11.768554,-2.688744
0.175000,7.653669,10.821786,-3.168117
0.180000,6.180340,9.060509,-2.880169
0.185000,4.668907,7.920138,-3.251231
0.190000,3.128689,6.718455,-3.589766
0.195000,1.569182,4.895973,-3.326791
0.200000,0.000000,3.486866,-3.486866
0.205000,-1.569182,2.199901,-3.769083
0.210000,-3.128689,0.948505,-4.077195
0.215000,-4.668907,-0.580934,-4.087974
0.220000,-6.180340,-1.904445,-4.275894
0.225000,-7.653669,-3.451770,-4.201899
0.230000,-9.079810,-4.489446,-4.590364
0.235000,-10.449971,-6.227772,-4.222199
0.240000,-11.755705,-7.355816,-4.399889
0.245000,-12.988961,-8.547266,-4.441694
0.250000,-14.142136,-9.803332,-4.338804
0.255000,-15.208119,-10.745292,-4.462827
0.260000,-16.180340,-12.212063,-3.968277
0.265000,-17.052803,-12.931983,-4.120820
0.270000,-17.820130,-13.774838,-4.045292
0.275000,-18.477591,-14.584443,-3.893147
0.280000,-19.021130,-15.180436,-3.840694
0.285000,-19.447398,-15.994149,-3.453250
0.290000,-19.753767,-16.515376,-3.238391
0.295000,-19.938347,-16.863395,-3.074951
0.300000,-20.000000,-17.052116,-2.947884
0.305000,-19.938347,-17.746023,-2.192323
0.310000,-19.753767,-17.954195,-1.799571
0.315000,-19.447398,-17.927773,-1.519625
0.320000,-19.021130,-17.919846,-1.101284
0.325000,-18.477591,-18.006342,-0.471248
0.330000,-17.820130,-17.943417,0.123287
0.335000,-17.052803,-17.738112,0.685309
0.340000,-16.180340,-17.676521,1.496181
0.345000,-15.208119,-17.296053,2.087934
0.350000,-14.142136,-16.628834,2.486698
0.355000,-12.988961,-16.071321,3.082360
0.360000,-11.755705,-15.347867,3.592162
0.365000,-10.449971,-14.499603,4.049632
0.370000,-9.079810,-13.684455,4.604645
0.375000,-7.653669,-12.531378,4.877710
0.380000,-6.180340,-10.998565,4.818225
0.385000,-4.668907,-9.970659,5.301752
0.390000,-3.128689,-8.193183,5.064494
0.395000,-1.569182,-7.054364,5.485182
0.400000,-0.000000,-5.306503,5.306503
0.405000,1.569182,-3.610025,5.179207
0.410000,3.128689,-1.948493,5.077182
0.415000,4.668907,-0.584548,5.253455
0.420000,6.180340,0.978477,5.201863
0.425000,7.653669,2.886782,4.766886
0.430000,9.079810,4.633118,4.446692
0.435000,10.449971,6.305891,4.144080
0.440000,11.755705,7.705741,4.049964
0.445000,12.988961,8.982812,4.006149
0.450000,14.142136,10.555068,3.587068
0.455000,15.208119,11.936686,3.271434
0.460000,16.180340,13.196394,2.983946
0.465000,17.052803,13.854161,3.198642
0.470000,17.820130,14.961352,2.858779
0.475000,18.477591,15.928423,2.549167
0.480000,19.021130,16.857105,2.164026
0.485000,19.447398,17.412218,2.035180
0.490000,19.753767,18.494394,1.259373
0.495000,19.938347,18.544560,1.393786
