t,ref_now_deg,meas_deg,err_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,nan,11.003541,nan,-1092.355129,0.618076,0.522750,0
0.005000,21.288696,13.781597,7.507098,-1017.558655,0.522750,0.433951,0
0.010000,24.077541,17.292449,6.785091,-921.678411,0.433951,0.353519,0
0.015000,26.659963,20.738709,5.921254,-828.593011,0.353519,0.281211,0
0.020000,29.007002,23.540039,5.466962,-737.863039,0.281211,0.216820,0
0.025000,31.094259,27.030860,4.063399,-572.424404,0.216820,0.166867,0
0.030000,32.902348,28.902357,3.999991,-547.113562,0.166867,0.119122,0
0.035000,34.417232,31.231910,3.185322,-438.853352,0.119122,0.080825,0
0.040000,35.630466,32.391393,3.239072,-405.928226,0.080825,0.045401,0
0.045000,36.539319,33.546109,2.993211,-347.921519,0.045401,0.015039,0
0.050000,37.146792,34.992020,2.154772,-239.974646,0.015039,-0.005902,0
0.055000,37.461512,36.142041,1.319471,-130.979336,-0.005902,-0.017333,0
0.060000,37.497524,36.869898,0.627626,-32.387294,-0.017333,-0.020159,0
0.065000,37.273967,36.450923,0.823044,-24.676207,-0.020159,-0.022312,0
0.070000,36.814659,36.450923,0.363735,46.992260,-0.022312,-0.018211,0
0.075000,36.147579,36.450923,-0.303344,134.721081,-0.018211,-0.006455,0
0.080000,35.304278,35.719954,-0.415676,158.245767,-0.006455,0.007355,0
0.085000,34.319209,35.417055,-1.097846,232.568433,0.007355,0.027650,0
0.090000,33.229008,34.695154,-1.466146,269.776154,0.027650,0.051193,0
0.095000,32.071730,33.546109,-1.474379,270.639826,0.051193,0.074810,0
0.100000,30.886058,32.828542,-1.942484,314.580936,0.074810,0.102263,0
0.105000,29.710501,31.675469,-1.964967,313.669918,0.102263,0.129636,0
0.110000,28.582598,30.784147,-2.201549,328.111564,0.129636,0.158269,0
0.115000,27.538138,29.357754,-1.819616,276.030346,0.158269,0.182357,0
0.120000,26.610425,28.194979,-1.584554,234.051009,0.182357,0.202782,0
0.125000,25.829586,27.734191,-1.904604,242.857523,0.202782,0.223975,0
0.130000,25.221951,26.565051,-1.343100,167.112576,0.223975,0.238558,0
0.135000,24.809502,26.333086,-1.523584,160.741111,0.238558,0.252586,0
0.140000,24.609419,25.866357,-1.256938,111.674877,0.252586,0.262331,0
0.145000,24.633718,25.173525,-0.539806,19.682989,0.262331,0.264049,0
0.150000,24.888999,25.173525,-0.284526,-29.156703,0.264049,0.261504,0
0.155000,25.376294,25.173525,0.202769,-99.142560,0.261504,0.252853,0
0.160000,26.091042,25.866357,0.224685,-124.062433,0.252853,0.242026,0
0.165000,27.023165,25.866357,1.156809,-232.609025,0.242026,0.221727,0
0.170000,28.157265,26.565051,1.592214,-293.390516,0.221727,0.196124,0
0.175000,29.472919,28.194979,1.277940,-283.387652,0.196124,0.171394,0
0.180000,30.945089,28.902357,2.042732,-374.131874,0.171394,0.138745,0
0.185000,32.544615,30.068583,2.476033,-430.192954,0.138745,0.101203,0
0.190000,34.238799,31.675469,2.563330,-442.653270,0.101203,0.062574,0
0.195000,35.992054,33.546109,2.445945,-428.084409,0.062574,0.025217,0
