t,ref_now_deg,meas_deg,err_raw_deg
0.000000,0.000000,-0.412193,0.412193
0.005000,1.569182,-0.123658,1.692840
0.010000,3.128689,0.828388,2.300301
0.015000,4.668907,1.978682,2.690226
0.020000,6.180340,3.186844,2.993496
0.025000,7.653669,4.434872,3.218797
0.030000,9.079810,5.959884,3.119926
0.035000,10.449971,7.275449,3.174522
0.040000,11.755705,8.282948,3.472757
0.045000,12.988961,9.490470,3.498491
0.050000,14.142136,11.049345,3.092790
0.055000,15.208119,12.367629,2.840490
0.060000,16.180340,13.044863,3.135477
0.065000,17.052803,14.160254,2.892549
0.070000,17.820130,15.053180,2.766951
0.075000,18.477591,16.233085,2.244506
0.080000,19.021130,16.670805,2.350326
0.085000,19.447398,17.631630,1.815769
0.090000,19.753767,18.193953,1.559814
0.095000,19.938347,18.728914,1.209432
0.100000,20.000000,18.889403,1.110597
0.105000,19.938347,19.210751,0.727596
0.110000,19.753767,19.307155,0.446611
0.115000,19.447398,19.062875,0.384523
0.120000,19.021130,18.989591,0.031539
0.125000,18.477591,18.967606,-0.490015
0.130000,17.820130,18.320670,-0.500540
0.135000,17.052803,18.126589,-1.073786
0.140000,16.180340,17.516555,-1.336215
0.145000,15.208119,16.972097,-1.763978
0.150000,14.142136,15.896733,-1.754597
0.155000,12.988961,15.295491,-2.306530
0.160000,11.755705,14.204035,-2.448330
0.165000,10.449971,13.249686,-2.799715
0.170000,9.079810,11.835130,-2.755320
0.175000,7.653669,10.556125,-2.902456
0.180000,6.180340,9.267150,-3.086811
0.185000,4.668907,8.019672,-3.350765
0.190000,3.128689,6.460859,-3.332170
0.195000,1.569182,5.105596,-3.536414
0.200000,0.000000,3.549753,-3.549753
0.205000,-1.569182,2.507004,-4.076186
0.210000,-3.128689,0.752101,-3.880790
0.215000,-4.668907,-0.351410,-4.317498
0.220000,-6.180340,-2.123497,-4.056843
0.225000,-7.653669,-2.942825,-4.710844
0.230000,-9.079810,-5.194262,-3.885548
0.235000,-10.449971,-6.154687,-4.295284
0.240000,-11.755705,-7.333891,-4.421814
0.245000,-12.988961,-8.823793,-4.165168
0.250000,-14.142136,-9.602611,-4.539525
0.255000,-15.208119,-10.966488,-4.241631
0.260000,-16.180340,-11.997640,-4.182700
0.265000,-17.052803,-12.867656,-4.185147
0.270000,-17.820130,-14.034415,-3.785715
0.275000,-18.477591,-14.384443,-4.093147
0.280000,-19.021130,-15.120436,-3.900694
0.285000,-19.447398,-15.976149,-3.471250
0.290000,-19.753767,-16.509976,-3.243791
0.295000,-19.938347,-16.861775,-3.076571
0.300000,-20.000000,-17.137110,-2.862890
0.305000,-19.938347,-17.409031,-2.529316
0.310000,-19.753767,-17.853098,-1.900669
0.315000,-19.447398,-18.169859,-1.277540
0.320000,-19.021130,-18.264887,-0.756244
0.325000,-18.477591,-17.747364,-0.730227
0.330000,-17.820130,-17.865724,0.045593
0.335000,-17.052803,-17.714804,0.662001
0.340000,-16.180340,-17.944830,1.764490
0.345000,-15.208119,-17.292232,2.084112
0.350000,-14.142136,-16.904800,2.762665
0.355000,-12.988961,-16.154111,3.165150
0.360000,-11.755705,-15.372704,3.616999
0.365000,-10.449971,-14.507055,4.057083
0.370000,-9.079810,-13.686691,4.606881
0.375000,-7.653669,-12.532049,4.878380
0.380000,-6.180340,-11.281715,5.101375
0.385000,-4.668907,-9.725036,5.056129
0.390000,-3.128689,-8.404995,5.276306
0.395000,-1.569182,-6.547480,4.978298
0.400000,-0.000000,-5.418159,5.418159
0.405000,1.569182,-3.355613,4.924795
0.410000,3.128689,-2.160525,5.289214
0.415000,4.668907,-0.359623,5.028530
0.420000,6.180340,1.334191,4.846149
0.425000,7.653669,2.706033,4.947636
0.430000,9.079810,4.866767,4.213043
0.435000,10.449971,6.375986,4.073985
0.440000,11.755705,7.726769,4.028936
0.445000,12.988961,8.989120,3.999841
0.450000,14.142136,10.272844,3.869292
0.455000,15.208119,11.852019,3.356101
0.460000,16.180340,12.957326,3.223014
0.465000,17.052803,13.782441,3.270362
0.470000,17.820130,14.939836,2.880295
0.475000,18.477591,16.475048,2.002543
0.480000,19.021130,16.659645,2.361485
0.485000,19.447398,17.628282,1.819116
0.490000,19.753767,17.918873,1.834894
0.495000,19.938347,18.646390,1.291956
