t,ref_now_deg,meas_deg,err_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,nan,34.992020,nan,-85.755347,0.024645,0.017162,0
0.005000,35.784591,35.417055,0.367536,-124.839367,0.017162,0.006267,0
0.010000,36.564345,36.142041,0.422303,-131.166540,0.006267,-0.005179,0
0.015000,37.334454,36.869898,0.464556,-136.221901,-0.005179,-0.017067,0
0.020000,38.090170,37.284326,0.805844,-175.425163,-0.017067,-0.032375,0
0.025000,38.826834,37.600405,1.226429,-226.843935,-0.032375,-0.052171,0
0.030000,39.539905,38.011510,1.528395,-269.611234,-0.052171,-0.075699,0
0.035000,40.224986,39.472460,0.752526,-179.819232,-0.075699,-0.091392,0
0.040000,40.877853,39.871809,1.006044,-213.972612,-0.091392,-0.110064,0
0.045000,41.494480,40.205768,1.288713,-253.519819,-0.110064,-0.132188,0
0.050000,42.071068,40.940654,1.130414,-231.907094,-0.132188,-0.152426,0
0.055000,42.604060,41.332212,1.271848,-248.194055,-0.152426,-0.174085,0
0.060000,43.090170,42.414206,0.675964,-157.580204,-0.174085,-0.187836,0
0.065000,43.526402,42.797402,0.729000,-157.425456,-0.187836,-0.201574,0
0.070000,43.910065,43.531199,0.378866,-99.863364,-0.201574,-0.210289,0
0.075000,44.238795,43.531199,0.707596,-138.028387,-0.210289,-0.222334,0
0.080000,44.510565,44.265479,0.245086,-64.541224,-0.222334,-0.227966,0
0.085000,44.723699,43.531199,1.192500,-189.645279,-0.227966,-0.244516,0
0.090000,44.876883,44.630355,0.246528,-48.033590,-0.244516,-0.248708,0
0.095000,44.969173,44.265479,0.703694,-104.415806,-0.248708,-0.257820,0
0.100000,45.000000,45.000000,0.000000,4.416689,-0.257820,-0.257434,0
0.105000,44.969173,45.000000,-0.030827,17.632703,-0.257434,-0.255896,0
0.110000,44.876883,45.000000,-0.123117,39.512538,-0.255896,-0.252447,0
0.115000,44.723699,44.630355,0.093344,17.078099,-0.252447,-0.250957,0
0.120000,44.510565,44.630355,-0.119790,55.756205,-0.250957,-0.246091,0
0.125000,44.238795,44.265479,-0.026684,50.434743,-0.246091,-0.241690,0
0.130000,43.910065,44.630355,-0.720290,156.264421,-0.241690,-0.228054,0
0.135000,43.526402,44.265479,-0.739077,165.636783,-0.228054,-0.213599,0
