t,ref_mean_deg,meas_mean_deg
0.000000,1.569182,0.412179
0.005000,3.128689,1.511032
0.010000,4.668907,2.745864
0.015000,6.180340,4.125652
0.020000,7.653669,5.792796
0.025000,9.079810,7.449285
0.030000,10.449971,8.578381
0.035000,11.755705,9.847758
0.040000,12.988961,11.093598
0.045000,14.142136,12.094893
0.050000,15.208119,13.304023
0.055000,16.180340,14.268860
0.060000,17.052803,15.303180
0.065000,17.820130,16.342346
0.070000,18.477591,17.255111
0.075000,19.021130,17.781220
0.080000,19.447398,18.696768
0.085000,19.753767,18.958183
0.090000,19.938347,19.570491
0.095000,20.000000,19.700739
0.100000,19.938347,19.876872
0.105000,19.753767,19.616377
0.110000,19.447398,19.394358
0.115000,19.021130,19.218375
0.120000,18.477591,18.696768
0.125000,17.820130,18.043412
0.130000,17.052803,17.650124
0.135000,16.180340,16.910876
0.140000,15.208119,16.342883
0.145000,14.142136,15.700212
0.150000,12.988961,14.569063
0.155000,11.755705,13.736268
0.160000,10.449971,12.603016
0.165000,9.079810,10.823011
0.170000,7.653669,9.394384
0.175000,6.180340,7.858097
0.180000,4.668907,6.340119
0.185000,3.128689,4.557419
0.190000,1.569182,3.293965
0.195000,-0.000000,1.785600
0.200000,-1.569182,0.547614
0.205000,-3.128689,-1.236408
0.210000,-4.668907,-3.019964
0.215000,-6.180340,-4.661079
0.220000,-7.653669,-6.023243
0.225000,-9.079810,-7.532112
0.230000,-10.449971,-8.809327
0.235000,-11.755705,-10.341297
0.240000,-12.988961,-11.417001
0.245000,-14.142136,-12.840679
0.250000,-15.208119,-14.136062
0.255000,-16.180340,-14.799096
0.260000,-17.052803,-15.399547
0.265000,-17.820130,-16.474841
0.270000,-18.477591,-17.092846
0.275000,-19.021130,-17.525568
0.280000,-19.447398,-18.001091
0.285000,-19.753767,-18.304437
0.290000,-19.938347,-18.131603
0.295000,-20.000000,-18.435541
0.300000,-19.938347,-18.434949
0.305000,-19.753767,-18.348725
0.310000,-19.447398,-18.478645
0.315000,-19.021130,-18.261325
0.320000,-18.477591,-17.958770
0.325000,-17.820130,-17.697381
0.330000,-17.052803,-17.698183
0.335000,-16.180340,-17.132996
0.340000,-15.208119,-16.304375
0.345000,-14.142136,-15.435862
0.350000,-12.988961,-14.534455
0.355000,-11.755705,-13.736268
0.360000,-10.449971,-12.439562
0.365000,-9.079810,-11.014612
0.370000,-7.653669,-9.800969
0.375000,-6.180340,-8.246321
0.380000,-4.668907,-6.749905
0.385000,-3.128689,-5.479171
0.390000,-1.569182,-3.430852
0.395000,0.000000,-2.471665
0.400000,1.569182,-0.547614
0.405000,3.128689,0.824343
0.410000,4.668907,2.060111
0.415000,6.180340,4.114909
0.420000,7.653669,5.518630
0.425000,9.079810,7.586194
0.430000,10.449971,8.714733
0.435000,11.755705,9.824833
0.440000,12.988961,10.958305
0.445000,14.142136,12.123738
0.450000,15.208119,13.303578
0.455000,16.180340,14.268860
0.460000,17.052803,15.303180
0.465000,17.820130,16.738759
0.470000,18.477591,17.255111
0.475000,19.021130,18.042828
0.480000,19.447398,18.653064
0.485000,19.753767,19.088279
0.490000,19.938347,19.348472
