t,ref_now_deg,meas_deg,err_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,nan,0.520856,nan,-219.544120,0.899357,0.880198,0
0.005000,1.569182,1.051181,0.518001,-339.827398,0.880198,0.850543,0
0.010000,3.128689,2.626406,0.502284,-323.111588,0.850543,0.822346,0
0.015000,4.668907,3.122130,1.546777,-432.752675,0.822346,0.784581,0
0.020000,6.180340,4.159642,2.020698,-467.151369,0.784581,0.743815,0
0.025000,7.653669,5.710593,1.943076,-435.839306,0.743815,0.705781,0
0.030000,9.079810,7.386043,1.693767,-387.147705,0.705781,0.671996,0
0.035000,10.449971,8.350753,2.099219,-411.999960,0.671996,0.636042,0
0.040000,11.755705,9.977713,1.777992,-356.484350,0.636042,0.604933,0
0.045000,12.988961,11.003541,1.985420,-358.808459,0.604933,0.573621,0
0.050000,14.142136,12.131321,2.010815,-341.850727,0.573621,0.543789,0
0.055000,15.208119,13.150949,2.057171,-328.202022,0.543789,0.515148,0
0.060000,16.180340,14.796762,1.383578,-244.073737,0.515148,0.493848,0
0.065000,17.052803,15.300846,1.751958,-266.216061,0.493848,0.470616,0
0.070000,17.820130,16.448608,1.371522,-214.290055,0.470616,0.451916,0
0.075000,18.477591,17.447188,1.030402,-166.494216,0.451916,0.437387,0
0.080000,19.021130,17.942447,1.078683,-157.119592,0.437387,0.423675,0
0.085000,19.447398,18.103763,1.343635,-169.133875,0.423675,0.408916,0
0.090000,19.753767,18.924644,0.829122,-102.697005,0.408916,0.399954,0
0.095000,19.938347,19.265264,0.673082,-71.658325,0.399954,0.393700,0
0.100000,20.000000,19.583994,0.416006,-30.214612,0.393700,0.391064,0
0.105000,19.938347,19.759471,0.178876,9.250790,0.391064,0.391871,0
0.110000,19.753767,19.583994,0.169773,25.529339,0.391871,0.394099,0
0.115000,19.447398,19.759471,-0.312072,89.201789,0.394099,0.401883,0
0.120000,19.021130,19.265264,-0.244134,96.834276,0.401883,0.410333,0
0.125000,18.477591,19.093492,-0.615901,148.109511,0.410333,0.423258,0
0.130000,17.820130,18.103763,-0.283633,127.791689,0.423258,0.434410,0
0.135000,17.052803,18.600066,-1.547263,266.492442,0.434410,0.457666,0
0.140000,16.180340,16.949224,-0.768884,199.904003,0.457666,0.475111,0
0.145000,15.208119,16.448608,-1.240489,257.921402,0.475111,0.497619,0
0.150000,14.142136,15.300846,-1.158710,261.016718,0.497619,0.520397,0
0.155000,12.988961,14.796762,-1.807801,337.759955,0.520397,0.549872,0
0.160000,11.755705,13.150949,-1.395244,310.115807,0.549872,0.576935,0
0.165000,10.449971,12.131321,-1.681350,353.597930,0.576935,0.607792,0
0.170000,9.079810,11.003541,-1.923731,394.772836,0.607792,0.642243,0
0.175000,7.653669,9.377061,-1.723392,390.468768,0.642243,0.676317,0
0.180000,6.180340,8.350753,-2.170413,455.082476,0.676317,0.716031,0
0.185000,4.668907,7.319019,-2.650112,526.480057,0.716031,0.761975,0
0.190000,3.128689,5.194429,-2.065740,480.462728,0.761975,0.803903,0
0.195000,1.569182,3.641185,-2.072003,499.240387,0.803903,0.847470,0
0.200000,-0.000000,2.101654,-2.101654,521.989748,0.847470,0.893022,0
0.205000,-1.569182,1.051181,-2.620363,607.008076,0.893022,0.945994,0
0.210000,-3.128689,-1.051181,-2.077509,562.400905,0.945994,0.995072,0
0.215000,-4.668907,-2.121096,-2.547811,643.283175,0.995072,1.051209,0
0.220000,-6.180340,-3.674500,-2.505840,656.331311,1.051209,1.108485,0
0.225000,-7.653669,-5.762633,-1.891036,582.220946,1.108485,1.159294,0
0.230000,-9.079810,-6.863692,-2.216118,629.428387,1.159294,1.214222,0
0.235000,-10.449971,-8.945382,-1.504589,523.738226,1.214222,1.259926,0
0.240000,-11.755705,-9.462322,-2.293383,628.259832,1.259926,1.314752,0
0.245000,-12.988961,-11.103833,-1.885128,558.764686,1.314752,1.363514,0
0.250000,-14.142136,-12.131321,-2.010815,565.673837,1.363514,1.412878,0
0.255000,-15.208119,-13.781597,-1.426522,465.540033,1.412878,1.453504,0
0.260000,-16.180340,-14.931417,-1.248923,421.746395,1.453504,1.490308,0
0.265000,-17.052803,-15.439646,-1.613158,458.847351,1.490308,1.530350,0
0.270000,-17.820130,-16.598104,-1.222026,374.629615,1.530350,1.563043,0
0.275000,-18.477591,-17.102729,-1.374862,370.482185,1.563043,1.595374,0
0.280000,-19.021130,-18.267906,-0.753224,233.883224,1.595374,1.615784,0
0.285000,-19.447398,-18.267906,-1.179492,264.459484,1.615784,1.638862,0
0.290000,-19.753767,-18.939004,-0.814763,159.652190,1.638862,1.652795,0
0.295000,-19.938347,-19.440035,-0.498312,59.368692,1.652795,1.657976,0
0.300000,-20.000000,-19.440035,-0.559965,22.680618,1.657976,1.659955,0
0.305000,-19.938347,-19.440035,-0.498312,-34.664324,1.659955,1.656930,0
0.310000,-19.753767,-19.440035,-0.313732,-111.368290,1.656930,1.647211,0
0.315000,-19.447398,-18.939004,-0.508394,-120.196334,1.647211,1.636722,0
0.320000,-19.021130,-18.768060,-0.253070,-202.834367,1.636722,1.619021,0
0.325000,-18.477591,-18.768060,0.290469,-327.748994,1.619021,1.590420,0
0.330000,-17.820130,-18.267906,0.447776,-377.705360,1.590420,1.557459,0
0.335000,-17.052803,-17.604633,0.551830,-411.362574,1.557459,1.521561,0
0.340000,-16.180340,-16.598104,0.417765,-400.749592,1.521561,1.486589,0
