t,ref_now_deg,ref_aligned_deg,meas_deg,meas_lag1_deg,err_aligned_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,1.569182,nan,0.000000,1.776044,nan,-640.359948,2.377161,2.321279,0
0.005000,3.128689,1.569182,1.776044,2.642545,-0.206862,-602.560758,2.321279,2.268696,0
0.010000,4.668907,3.128689,2.642545,4.398705,0.486144,-707.026048,2.268696,2.206996,0
0.015000,6.180340,4.668907,4.398705,5.754565,0.270202,-638.065059,2.206996,2.151314,0
0.020000,7.653669,6.180340,5.754565,7.070345,0.425775,-627.587307,2.151314,2.096547,0
0.025000,9.079810,7.653669,7.070345,8.378673,0.583324,-618.292396,2.096547,2.042591,0
0.030000,10.449971,9.079810,8.378673,10.265140,0.701137,-608.172824,2.042591,1.989518,0
0.035000,11.755705,10.449971,10.265140,10.701351,0.184831,-498.009766,1.989518,1.946058,0
0.040000,12.988961,11.755705,10.701351,12.528808,1.054354,-625.534598,1.946058,1.891470,0
0.045000,14.142136,12.988961,12.528808,13.928342,0.460153,-507.925779,1.891470,1.847145,0
0.050000,15.208119,14.142136,13.928342,14.470294,0.213794,-441.889215,1.847145,1.808583,0
0.055000,16.180340,15.208119,14.470294,15.762148,0.737825,-503.184372,1.808583,1.764672,0
0.060000,17.052803,16.180340,15.762148,16.741970,0.418192,-409.595965,1.764672,1.728928,0
0.065000,17.820130,17.052803,16.741970,17.300527,0.310833,-344.338181,1.728928,1.698879,0
0.070000,18.477591,17.820130,17.300527,17.727629,0.519603,-330.200480,1.698879,1.670063,0
0.075000,19.021130,18.477591,17.727629,18.718589,0.749961,-316.698127,1.670063,1.642426,0
0.080000,19.447398,19.021130,18.718589,19.142268,0.302541,-178.843367,1.642426,1.626819,0
0.085000,19.753767,19.447398,19.142268,19.142268,0.305130,-121.214861,1.626819,1.616241,0
0.090000,19.938347,19.753767,19.142268,19.714295,0.611499,-118.042479,1.616241,1.605940,0
0.095000,20.000000,19.938347,19.714295,19.714295,0.224052,10.267198,1.605940,1.606836,0
0.100000,19.938347,20.000000,19.714295,19.714295,0.285705,57.287496,1.606836,1.611835,0
0.105000,19.753767,19.938347,19.714295,19.142268,0.224052,125.956413,1.611835,1.622827,0
0.110000,19.447398,19.753767,19.142268,19.142268,0.611499,112.700276,1.622827,1.632662,0
0.115000,19.021130,19.447398,19.142268,18.718589,0.305130,223.244486,1.632662,1.652144,0
0.120000,18.477591,19.021130,18.718589,17.727629,0.302541,277.149887,1.652144,1.676330,0
0.125000,17.820130,18.477591,17.727629,17.300527,0.749961,246.962982,1.676330,1.697881,0
0.130000,17.052803,17.820130,17.300527,16.741970,0.519603,335.465690,1.697881,1.727156,0
0.135000,16.180340,17.052803,16.741970,16.313852,0.310833,413.987217,1.727156,1.763283,0
0.140000,15.208119,16.180340,16.313852,14.902654,-0.133513,525.447543,1.763283,1.809137,0
0.145000,14.142136,15.208119,14.902654,13.928342,0.305465,466.063613,1.809137,1.849809,0
0.150000,12.988961,14.142136,13.928342,13.392498,0.213794,495.123768,1.849809,1.893017,0
0.155000,11.755705,12.988961,13.392498,11.659293,-0.403537,608.212427,1.893017,1.946093,0
0.160000,10.449971,11.755705,11.659293,10.701351,0.096412,522.237649,1.946093,1.991667,0
0.165000,9.079810,10.449971,10.701351,9.317086,-0.251379,588.290188,1.991667,2.043005,0
0.170000,7.653669,9.079810,9.317086,7.565321,-0.237276,597.710169,2.043005,2.095165,0
0.175000,6.180340,7.653669,7.565321,6.632515,0.088348,562.424202,2.095165,2.144246,0
0.180000,4.668907,6.180340,6.632515,4.873896,-0.452175,678.698979,2.144246,2.203474,0
0.185000,3.128689,4.668907,4.873896,3.106027,-0.204989,664.668814,2.203474,2.261477,0
