t,ref_now_deg,ref_aligned_deg,meas_deg,meas_lag1_deg,err_raw_deg,err_aligned_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible,rmse_aligned
0.000000,1.569182,nan,-0.412193,0.824343,1.981375,nan,-482.709981,1.614839,1.572714,0,1.592980
0.005000,3.128689,1.569182,0.824343,1.648345,2.304346,0.744839,-501.362758,1.572714,1.528962,0,1.592980
0.010000,4.668907,3.128689,1.648345,2.882963,3.020563,1.480345,-601.828204,1.528962,1.476443,0,1.592980
0.015000,6.180340,4.668907,2.882963,3.704627,3.297376,1.785944,-643.091352,1.476443,1.420323,0,1.592980
0.020000,7.653669,6.180340,3.704627,5.792796,3.949041,2.475712,-738.953822,1.420323,1.355837,0,1.592980
0.025000,9.079810,7.653669,5.792796,7.431408,3.287013,1.860872,-619.563309,1.355837,1.301770,0,1.592980
0.030000,10.449971,9.079810,7.431408,8.305676,3.018563,1.648402,-545.504569,1.301770,1.254165,0,1.592980
0.035000,11.755705,10.449971,8.305676,9.598903,3.450029,2.144295,-564.375019,1.254165,1.204914,0,1.592980
0.040000,12.988961,11.755705,9.598903,11.228892,3.390058,2.156802,-507.752064,1.204914,1.160605,0,1.592980
0.045000,14.142136,12.988961,11.228892,12.037202,2.913244,1.760069,-418.575866,1.160605,1.124077,0,1.592980
0.050000,15.208119,14.142136,12.037202,13.431029,3.170917,2.104933,-441.205812,1.124077,1.085574,0,1.592980
0.055000,16.180340,15.208119,13.431029,14.136062,2.749311,1.777090,-399.235641,1.085574,1.050735,0,1.592980
0.060000,17.052803,16.180340,14.136062,15.435862,2.916741,2.044278,-441.095212,1.050735,1.012242,0,1.592980
0.065000,17.820130,17.052803,15.435862,15.945396,2.384269,1.616941,-390.619601,1.012242,0.978154,0,1.592980
0.070000,18.477591,17.820130,15.945396,17.255111,2.532195,1.874735,-415.033501,0.978154,0.941935,0,1.592980
0.075000,19.021130,18.477591,17.255111,18.043412,1.766019,1.222480,-295.939368,0.941935,0.916110,0,1.592980
0.080000,19.447398,19.021130,18.043412,18.958183,1.403986,0.977718,-229.826525,0.916110,0.896054,0,1.592980
0.085000,19.753767,19.447398,18.958183,18.958183,0.795583,0.489215,-127.242205,0.896054,0.884950,0,1.592980
0.090000,19.938347,19.753767,18.958183,19.348472,0.980163,0.795583,-140.897128,0.884950,0.872654,0,1.592980
0.095000,20.000000,19.938347,19.348472,19.876872,0.651528,0.589875,-79.577827,0.872654,0.865710,0,1.592980
0.100000,19.938347,20.000000,19.876872,19.876872,0.061474,0.123128,19.616981,0.865710,0.867421,0,1.592980
0.105000,19.753767,19.938347,19.876872,19.486130,-0.123105,0.061474,59.815500,0.867421,0.872641,0,1.592980
0.110000,19.447398,19.753767,19.486130,19.348472,-0.038731,0.267637,60.471927,0.872641,0.877918,0,1.592980
0.115000,19.021130,19.447398,19.348472,19.348472,-0.327341,0.098927,115.183650,0.877918,0.887970,0,1.592980
0.120000,18.477591,19.021130,19.348472,18.566060,-0.870881,-0.327341,206.138382,0.887970,0.905959,0,1.592980
0.125000,17.820130,18.477591,18.566060,18.043412,-0.745930,-0.088470,195.008082,0.905959,0.922977,0,1.592980
0.130000,17.052803,17.820130,18.043412,17.650124,-0.990609,-0.223282,234.975236,0.922977,0.943482,0,1.592980
0.135000,16.180340,17.052803,17.650124,16.738759,-1.469784,-0.597321,300.601743,0.943482,0.969715,0,1.592980
0.140000,15.208119,16.180340,16.738759,16.342883,-1.530639,-0.558419,296.074419,0.969715,0.995552,0,1.592980
0.145000,14.142136,15.208119,16.342883,15.832387,-2.200747,-1.134763,373.144124,0.995552,1.028115,0,1.592980
0.150000,12.988961,14.142136,15.832387,14.534455,-2.843426,-1.690251,434.058722,1.028115,1.065994,0,1.592980
0.155000,11.755705,12.988961,14.534455,13.736268,-2.778750,-1.545494,414.855513,1.065994,1.102197,0,1.592980
0.160000,10.449971,11.755705,13.736268,12.840679,-3.286297,-1.980563,493.009475,1.102197,1.145220,0,1.592980
0.165000,9.079810,10.449971,12.840679,10.823011,-3.760869,-2.390708,612.872476,1.145220,1.198703,0,1.592980
0.170000,7.653669,9.079810,10.823011,9.530128,-3.169343,-1.743201,612.118935,1.198703,1.252121,0,1.592980
0.175000,6.180340,7.653669,9.530128,7.839263,-3.349788,-1.876459,666.043275,1.252121,1.310244,0,1.592980
0.180000,4.668907,6.180340,7.839263,6.203448,-3.170356,-1.658923,637.872755,1.310244,1.365909,0,1.592980
0.185000,3.128689,4.668907,6.203448,4.557419,-3.074759,-1.534541,619.142827,1.365909,1.419939,0,1.592980
0.190000,1.569182,3.128689,4.557419,3.293965,-2.988237,-1.428730,607.264353,1.419939,1.472933,0,1.592980
0.195000,-0.000000,1.569182,3.293965,2.060111,-3.293965,-1.724783,660.658437,1.472933,1.530586,0,1.592980
0.200000,-1.569182,-0.000000,2.060111,0.412193,-3.629293,-2.060111,732.111290,1.530586,1.594475,0,1.592980
0.205000,-3.128689,-1.569182,0.412193,-1.236408,-3.540882,-1.981375,758.940133,1.594475,1.660705,0,1.592980
0.210000,-4.668907,-3.128689,-1.236408,-3.293965,-3.432500,-1.892282,795.091742,1.660705,1.730090,0,1.592980
0.215000,-6.180340,-4.668907,-3.293965,-4.114909,-2.886375,-1.374942,763.372916,1.730090,1.796707,0,1.592980
0.220000,-7.653669,-6.180340,-4.114909,-6.159163,-3.538760,-2.065431,913.114140,1.796707,1.876391,0,1.592980
0.225000,-9.079810,-7.653669,-6.159163,-7.839263,-2.920647,-1.494506,841.302978,1.876391,1.949809,0,1.592980
0.230000,-10.449971,-9.079810,-7.839263,-8.652542,-2.610708,-1.240547,794.438790,1.949809,2.019136,0,1.592980
0.235000,-11.755705,-10.449971,-8.652542,-10.745857,-3.103163,-1.797430,886.194295,2.019136,2.096471,0,1.592980
0.240000,-12.988961,-11.755705,-10.745857,-11.148990,-2.243104,-1.009848,745.453383,2.096471,2.161525,0,1.592980
0.245000,-14.142136,-12.988961,-11.148990,-12.840679,-2.993146,-1.839971,882.130309,2.161525,2.238505,0,1.592980
0.250000,-15.208119,-14.142136,-12.840679,-14.136062,-2.367440,-1.301457,787.949678,2.238505,2.307267,0,1.592980
0.255000,-16.180340,-15.208119,-14.136062,-14.931417,-2.044278,-1.072058,714.794730,2.307267,2.369644,0,1.592980
0.260000,-17.052803,-16.180340,-14.931417,-15.435862,-2.121386,-1.248923,707.186710,2.369644,2.431358,0,1.592980
0.265000,-17.820130,-17.052803,-15.435862,-16.342883,-2.384269,-1.616941,729.985932,2.431358,2.495061,0,1.592980
0.270000,-18.477591,-17.820130,-16.342883,-17.132996,-2.134708,-1.477248,633.237590,2.495061,2.550322,0,1.592980
0.275000,-19.021130,-18.477591,-17.132996,-17.525568,-1.888134,-1.344594,515.240678,2.550322,2.595285,0,1.592980
0.280000,-19.447398,-19.021130,-17.525568,-18.043412,-1.921830,-1.495562,449.666487,2.595285,2.634526,0,1.592980
0.285000,-19.753767,-19.447398,-18.043412,-18.434949,-1.710355,-1.403986,336.137080,2.634526,2.663859,0,1.592980
0.290000,-19.938347,-19.753767,-18.434949,-17.916449,-1.503398,-1.318818,226.939218,2.663859,2.683663,0,1.592980
0.295000,-20.000000,-19.938347,-17.916449,-18.434949,-2.083551,-2.021898,271.757751,2.683663,2.707379,0,1.592980
0.300000,-19.938347,-20.000000,-18.434949,-18.434949,-1.503398,-1.565051,98.662678,2.707379,2.715988,0,1.592980
0.305000,-19.753767,-19.938347,-18.434949,-18.305613,-1.318818,-1.503398,10.000460,2.715988,2.716861,0,1.592980
0.310000,-19.447398,-19.753767,-18.305613,-18.305613,-1.141785,-1.448154,-72.482393,2.716861,2.710536,0,1.592980
0.315000,-19.021130,-19.447398,-18.305613,-18.434949,-0.715517,-1.141785,-193.430251,2.710536,2.693656,0,1.592980
0.320000,-18.477591,-19.021130,-18.434949,-17.916449,-0.042642,-0.586182,-346.241353,2.693656,2.663441,0,1.592980
0.325000,-17.820130,-18.477591,-17.916449,-17.525568,0.096319,-0.561142,-386.568288,2.663441,2.629706,0,1.592980
0.330000,-17.052803,-17.820130,-17.525568,-18.043412,0.472765,-0.294562,-469.619155,2.629706,2.588724,0,1.592980
0.335000,-16.180340,-17.052803,-18.043412,-17.132996,1.863072,0.990609,-716.173747,2.588724,2.526226,0,1.592980
0.340000,-15.208119,-16.180340,-17.132996,-16.227361,1.924877,0.952656,-699.915361,2.526226,2.465147,0,1.592980
0.345000,-14.142136,-15.208119,-16.227361,-15.435862,2.085225,1.019242,-735.734633,2.465147,2.400942,0,1.592980
0.350000,-12.988961,-14.142136,-15.435862,-14.534455,2.446901,1.293726,-798.606974,2.400942,2.331251,0,1.592980
0.355000,-11.755705,-12.988961,-14.534455,-13.736268,2.778750,1.545494,-851.547807,2.331251,2.256939,0,1.592980
0.360000,-10.449971,-11.755705,-13.736268,-12.439562,3.286297,1.980563,-930.106556,2.256939,2.175772,0,1.592980
0.365000,-9.079810,-10.449971,-12.439562,-11.148990,3.359752,1.989591,-918.664361,2.175772,2.095603,0,1.592980
0.370000,-7.653669,-9.079810,-11.148990,-9.936390,3.495321,2.069180,-909.390642,2.095603,2.016244,0,1.592980
0.375000,-6.180340,-7.653669,-9.936390,-8.246321,3.756050,2.282721,-908.846113,2.016244,1.936932,0,1.592980
0.380000,-4.668907,-6.180340,-8.246321,-6.613460,3.577414,2.065981,-831.299950,1.936932,1.864388,0,1.592980
0.385000,-3.128689,-4.668907,-6.613460,-5.751402,3.484771,1.944553,-779.953628,1.864388,1.796324,0,1.592980
0.390000,-1.569182,-3.128689,-5.751402,-3.293965,4.182220,2.622713,-853.792049,1.796324,1.721816,0,1.592980
0.395000,0.000000,-1.569182,-3.293965,-2.471665,3.293965,1.724783,-680.702450,1.721816,1.662414,0,1.592980
