t,ref_now_deg,ref_aligned_deg,meas_deg,meas_lag1_deg,err_raw_deg,err_aligned_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible,rmse_aligned
0.000000,1.569182,nan,-0.409249,0.412193,1.978431,nan,-482.268711,1.614839,1.572753,0,1.547955
0.005000,3.128689,1.569182,0.412193,1.236408,2.716497,1.156989,-574.780202,1.572753,1.522594,0,1.547955
0.010000,4.668907,3.128689,1.236408,2.882963,3.432500,1.892282,-664.807806,1.522594,1.464578,0,1.547955
0.015000,6.180340,4.668907,2.882963,4.114909,3.297376,1.785944,-636.687008,1.464578,1.409017,0,1.547955
0.020000,7.653669,6.180340,4.114909,5.792796,3.538760,2.065431,-671.603682,1.409017,1.350409,0,1.547955
0.025000,9.079810,7.653669,5.792796,7.431408,3.287013,1.860872,-635.375997,1.350409,1.294962,0,1.547955
0.030000,10.449971,9.079810,7.431408,8.714733,3.018563,1.648402,-582.843522,1.294962,1.244099,0,1.547955
0.035000,11.755705,10.449971,8.714733,9.530128,3.040972,1.735238,-550.015878,1.244099,1.196101,0,1.547955
0.040000,12.988961,11.755705,9.530128,11.228892,3.458833,2.225577,-553.301217,1.196101,1.147816,0,1.547955
0.045000,14.142136,12.988961,11.228892,12.528808,2.913244,1.760069,-429.993852,1.147816,1.110292,0,1.547955
0.050000,15.208119,14.142136,12.528808,12.932608,2.679312,1.613328,-380.309357,1.110292,1.077104,0,1.547955
0.055000,16.180340,15.208119,12.932608,14.638279,3.247731,2.275511,-450.937548,1.077104,1.037752,0,1.547955
0.060000,17.052803,16.180340,14.638279,15.546327,2.414525,1.542061,-363.652040,1.037752,1.006018,0,1.547955
0.065000,17.820130,17.052803,15.546327,16.738759,2.273803,1.506476,-359.712533,1.006018,0.974627,0,1.547955
0.070000,18.477591,17.820130,16.738759,16.738759,1.738832,1.081372,-291.954846,0.974627,0.949149,0,1.547955
0.075000,19.021130,18.477591,16.738759,18.043412,2.282372,1.738832,-366.582405,0.949149,0.917159,0,1.547955
0.080000,19.447398,19.021130,18.043412,18.043412,1.403986,0.977718,-229.721315,0.917159,0.897112,0,1.547955
0.085000,19.753767,19.447398,18.043412,19.348472,1.710355,1.403986,-261.476730,0.897112,0.874293,0,1.547955
0.090000,19.938347,19.753767,19.348472,19.348472,0.589875,0.405295,-83.811951,0.874293,0.866980,0,1.547955
0.095000,20.000000,19.938347,19.348472,19.736901,0.651528,0.589875,-79.597140,0.866980,0.860033,0,1.547955
0.100000,19.938347,20.000000,19.736901,19.736901,0.201445,0.263099,-1.021523,0.860033,0.859944,0,1.547955
