t,ref_now_deg,meas_deg,err_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,nan,35.417055,nan,-391.071660,0.024645,-0.009482,0
0.005000,38.438582,36.450923,1.987659,-645.630728,-0.009482,-0.065824,0
0.010000,41.774758,38.740964,3.033795,-819.552970,-0.065824,-0.137344,0
0.015000,44.909173,41.332212,3.576961,-940.339694,-0.137344,-0.219404,0
0.020000,47.748480,43.531199,4.217281,-951.249869,-0.219404,-0.302416,0
0.025000,50.208119,46.108812,4.099307,-930.235680,-0.302416,-0.383594,0
0.030000,52.214841,48.667788,3.547052,-848.028209,-0.383594,-0.457599,0
0.035000,53.708881,50.527540,3.181340,-614.477430,-0.457599,-0.511222,0
0.040000,54.645745,51.259036,3.386709,-474.983860,-0.511222,-0.552672,0
0.045000,54.997533,52.399595,2.597938,-179.199798,-0.552672,-0.568310,0
0.050000,54.753767,52.715674,2.038093,107.489521,-0.568310,-0.558930,0
0.055000,53.921707,52.715674,1.206034,366.395099,-0.558930,-0.526956,0
0.060000,52.526134,51.988490,0.537644,537.486414,-0.526956,-0.480052,0
0.065000,50.608608,51.259036,-0.650428,851.076220,-0.480052,-0.405781,0
0.070000,48.226237,49.398705,-1.172468,1109.794471,-0.405781,-0.308933,0
0.075000,45.449971,46.468801,-1.018829,852.728490,-0.308933,-0.234519,0
0.080000,42.362491,44.265479,-1.902988,865.763735,-0.234519,-0.158967,0
0.085000,39.055746,41.676880,-2.621134,973.539548,-0.158967,-0.074009,0
0.090000,35.628215,38.740964,-3.112749,906.849878,-0.074009,0.005128,0
0.095000,32.181975,36.142041,-3.960066,837.675432,0.005128,0.078229,0
0.100000,28.819660,33.546109,-4.726448,867.478076,0.078229,0.153931,0
0.105000,25.641404,30.518231,-4.876827,850.866389,0.153931,0.228183,0
0.110000,22.741859,27.030860,-4.289001,722.682137,0.228183,0.291249,0
0.115000,20.207378,24.702430,-4.495052,693.777615,0.291249,0.351793,0
0.120000,18.113441,21.898193,-3.784751,567.715749,0.351793,0.401335,0
