t,ref_now_deg,meas_deg,err_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,nan,34.992020,nan,-119.594811,0.024645,0.014209,0
0.005000,36.097343,35.719954,0.377389,-159.446678,0.014209,0.000294,0
0.010000,37.181432,36.142041,1.039391,-232.370145,0.000294,-0.019984,0
0.015000,38.239174,36.450923,1.788251,-320.824553,-0.019984,-0.047981,0
0.020000,39.257793,38.333340,0.924453,-228.387021,-0.047981,-0.067912,0
0.025000,40.224986,38.740964,1.484022,-300.705638,-0.067912,-0.094153,0
0.030000,41.129071,39.472460,1.656611,-329.516757,-0.094153,-0.122909,0
0.035000,41.959128,40.601295,1.357833,-290.627112,-0.122909,-0.148271,0
0.040000,42.705132,41.332212,1.372920,-285.509039,-0.148271,-0.173186,0
0.045000,43.358074,42.414206,0.943868,-211.942381,-0.173186,-0.191682,0
0.050000,43.910065,42.797402,1.112663,-220.151957,-0.191682,-0.210894,0
0.055000,44.354440,43.531199,0.823241,-162.717836,-0.210894,-0.225093,0
0.060000,44.685832,44.265479,0.420353,-89.423628,-0.225093,-0.232897,0
0.065000,44.900237,44.630355,0.269882,-51.451346,-0.232897,-0.237387,0
0.070000,44.995066,44.265479,0.729587,-99.418198,-0.237387,-0.246063,0
0.075000,44.969173,44.265479,0.703694,-79.095123,-0.246063,-0.252965,0
0.080000,44.822873,45.000000,-0.177127,63.052187,-0.252965,-0.247463,0
0.085000,44.557930,44.265479,0.292451,12.489250,-0.247463,-0.246373,0
0.090000,44.177546,44.265479,-0.087933,82.200627,-0.246373,-0.239200,0
0.095000,43.686315,44.265479,-0.579164,166.170978,-0.239200,-0.224699,0
0.100000,43.090170,43.891188,-0.801018,210.588271,-0.224699,-0.206321,0
0.105000,42.396311,43.531199,-1.134888,270.480109,-0.206321,-0.182717,0
0.110000,41.613119,42.797402,-1.184283,289.883873,-0.182717,-0.157420,0
0.115000,40.750053,41.676880,-0.926827,262.935626,-0.157420,-0.134475,0
0.120000,39.817537,41.332212,-1.514675,349.967114,-0.134475,-0.103934,0
0.125000,38.826834,39.871809,-1.044975,280.388051,-0.103934,-0.079466,0
0.130000,37.789911,39.472460,-1.682549,354.930217,-0.079466,-0.048493,0
0.135000,36.719291,38.011510,-1.292219,288.092469,-0.048493,-0.023352,0
0.140000,35.627905,37.184706,-1.556801,305.380137,-0.023352,0.003298,0
0.145000,34.528935,36.142041,-1.613106,298.749108,0.003298,0.029369,0
0.150000,33.435655,34.992020,-1.556365,283.841368,0.029369,0.054138,0
0.155000,32.361270,33.835120,-1.473850,269.771626,0.054138,0.077680,0
0.160000,31.318754,33.546109,-2.227354,346.956940,0.077680,0.107958,0
0.165000,30.320702,31.675469,-1.354767,249.004470,0.107958,0.129688,0
0.170000,29.379166,30.963757,-1.584590,267.221383,0.129688,0.153007,0
0.175000,28.505520,30.068583,-1.563063,255.562312,0.153007,0.175309,0
0.180000,27.710314,29.357754,-1.647440,253.186219,0.175309,0.197404,0
0.185000,27.003153,28.651828,-1.648675,240.637528,0.197404,0.218404,0
0.190000,26.392580,27.734191,-1.341611,195.408008,0.218404,0.235456,0
0.195000,25.885967,27.030860,-1.144893,162.471358,0.235456,0.249634,0
0.200000,25.489435,26.333086,-0.843651,118.606970,0.249634,0.259985,0
0.205000,25.207772,25.866357,-0.658585,86.755678,0.259985,0.267556,0
0.210000,25.044380,25.395912,-0.351531,41.726409,0.267556,0.271197,0
0.215000,25.001234,25.173525,-0.172291,10.018738,0.271197,0.272071,0
0.220000,25.078853,25.395912,-0.317059,12.661162,0.272071,0.273176,0
0.225000,25.276301,25.173525,0.102776,-44.225603,0.273176,0.269317,0
0.230000,25.591192,25.395912,0.195280,-65.981508,0.269317,0.263559,0
0.235000,26.019724,25.866357,0.153367,-72.917727,0.263559,0.257196,0
0.240000,26.556721,25.866357,0.690364,-140.237599,0.257196,0.244958,0
0.245000,27.195696,26.333086,0.862610,-168.159825,0.244958,0.230283,0
0.250000,27.928932,27.030860,0.898072,-181.054810,0.230283,0.214483,0
0.255000,28.747573,27.734191,1.013383,-201.906990,0.214483,0.196863,0
0.260000,29.641732,28.194979,1.446753,-256.286491,0.196863,0.174498,0
0.265000,30.600608,29.357754,1.242855,-242.543675,0.174498,0.153332,0
0.270000,31.612621,30.068583,1.544038,-281.405454,0.153332,0.128775,0
0.275000,32.665546,30.963757,1.701790,-302.513549,0.128775,0.102375,0
0.280000,33.746668,31.949971,1.796696,-313.300309,0.102375,0.075035,0
0.285000,34.842927,33.546109,1.296818,-257.460094,0.075035,0.052567,0
0.290000,35.941083,33.835120,2.105963,-342.297998,0.052567,0.022696,0
0.295000,37.027873,35.417055,1.610818,-289.613802,0.022696,-0.002578,0
0.300000,38.090170,36.142041,1.948129,-330.690727,-0.002578,-0.031436,0
0.305000,39.115144,37.600405,1.514738,-290.699522,-0.031436,-0.056804,0
0.310000,40.090414,38.333340,1.757074,-328.528921,-0.056804,-0.085474,0
0.315000,41.004202,38.740964,2.263239,-404.914089,-0.085474,-0.120809,0
0.320000,41.845471,40.601295,1.244176,-276.006689,-0.120809,-0.144895,0
0.325000,42.604060,41.719119,0.884940,-218.301704,-0.144895,-0.163946,0
0.330000,43.270806,42.064327,1.206479,-251.109930,-0.163946,-0.185859,0
0.335000,43.837656,42.797402,1.040254,-212.344726,-0.185859,-0.204390,0
0.340000,44.297765,43.531199,0.766566,-157.194394,-0.204390,-0.218107,0
0.345000,44.645574,44.265479,0.380095,-86.115277,-0.218107,-0.225622,0
0.350000,44.876883,43.531199,1.345684,-205.369170,-0.225622,-0.243544,0
0.355000,44.988899,44.630355,0.358544,-49.578775,-0.243544,-0.247871,0
0.360000,44.980267,44.265479,0.714788,-83.199074,-0.247871,-0.255131,0
0.365000,44.851093,45.000000,-0.148907,56.741700,-0.255131,-0.250180,0
0.370000,44.602937,44.630355,-0.027418,55.722664,-0.250180,-0.245317,0
