t,ref_now_deg,meas_deg,err_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,nan,34.695154,nan,-405.035141,0.024645,-0.010701,0
0.005000,38.438582,36.869898,1.568684,-552.073660,-0.010701,-0.058878,0
0.010000,41.774758,38.333340,3.441418,-812.421180,-0.058878,-0.129775,0
0.015000,44.909173,41.332212,3.576961,-892.589008,-0.129775,-0.207669,0
0.020000,47.748480,43.531199,4.217281,-941.359011,-0.207669,-0.289818,0
0.025000,50.208119,45.734521,4.473598,-974.850525,-0.289818,-0.374889,0
0.030000,52.214841,48.667788,3.547052,-906.768575,-0.374889,-0.454020,0
0.035000,53.708881,50.527540,3.181340,-746.385481,-0.454020,-0.519154,0
0.040000,54.645745,51.988490,2.657255,-521.844638,-0.519154,-0.564694,0
0.045000,54.997533,52.715674,2.281859,-374.227535,-0.564694,-0.597351,0
0.050000,54.753767,53.857959,0.895808,-12.707211,-0.597351,-0.598460,0
0.055000,53.921707,53.440365,0.481342,182.768113,-0.598460,-0.582511,0
0.060000,52.526134,53.130102,-0.603969,483.397032,-0.582511,-0.540326,0
0.065000,50.608608,52.399595,-1.790987,734.612836,-0.540326,-0.476219,0
0.070000,48.226237,51.259036,-3.032799,1030.221390,-0.476219,-0.386316,0
0.075000,45.449971,49.059346,-3.609375,1220.674697,-0.386316,-0.279792,0
0.080000,42.362491,46.094691,-3.732200,1039.337813,-0.279792,-0.189092,0
0.085000,39.055746,42.414206,-3.358460,959.917281,-0.189092,-0.105324,0
0.090000,35.628215,39.871809,-4.243594,1037.879716,-0.105324,-0.014752,0
0.095000,32.181975,36.869898,-4.687922,912.001255,-0.014752,0.064836,0
0.100000,28.819660,33.546109,-4.726448,848.075867,0.064836,0.138844,0
0.105000,25.641404,31.231910,-5.590506,922.459758,0.138844,0.219344,0
0.110000,22.741859,27.734191,-4.992332,795.592919,0.219344,0.288773,0
0.115000,20.207378,24.702430,-4.495052,701.385856,0.288773,0.349980,0
0.120000,18.113441,21.898193,-3.784751,582.273487,0.349980,0.400793,0
0.125000,16.522409,20.071526,-3.549117,494.112797,0.400793,0.443912,0
0.130000,15.481665,17.942447,-2.460782,310.749923,0.443912,0.471030,0
0.135000,15.022203,16.949224,-1.927022,189.979054,0.471030,0.487609,0
0.140000,15.157706,16.448608,-1.290902,59.895323,0.487609,0.492836,0
0.145000,15.884140,15.945396,-0.061256,-131.077468,0.492836,0.481397,0
0.150000,17.179870,16.448608,0.731261,-271.259785,0.481397,0.457726,0
0.155000,19.006307,17.292449,1.713857,-426.396450,0.457726,0.420515,0
0.160000,21.309058,18.434949,2.874109,-597.855187,0.420515,0.368343,0
0.165000,24.019544,20.738709,3.280834,-684.337973,0.368343,0.308623,0
0.170000,27.057042,23.540039,3.517003,-728.295326,0.308623,0.245067,0
0.175000,30.331093,26.333086,3.998007,-780.935485,0.245067,0.176918,0
0.180000,33.744190,28.902357,4.841833,-891.059370,0.176918,0.099158,0
0.185000,37.194686,32.114831,5.079856,-915.985517,0.099158,0.019223,0
0.190000,40.579822,35.417055,5.162767,-910.483729,0.019223,-0.060231,0
0.195000,43.798783,38.333340,5.465443,-1043.537891,-0.060231,-0.151297,0
0.200000,46.755705,41.332212,5.423493,-1133.241570,-0.151297,-0.250191,0
0.205000,49.362526,45.000000,4.362526,-930.941671,-0.250191,-0.331431,0
0.210000,51.541611,47.202598,4.339013,-996.762235,-0.331431,-0.418415,0
0.215000,53.228066,49.455603,3.772463,-908.593659,-0.418415,-0.497705,0
0.220000,54.371663,51.581945,2.789719,-584.822698,-0.497705,-0.548740,0
0.225000,54.938347,52.399595,2.538752,-447.344505,-0.548740,-0.587778,0
0.230000,54.911239,52.815294,2.095946,-286.854549,-0.587778,-0.612811,0
0.235000,54.291148,53.549077,0.742072,93.819254,-0.612811,-0.604624,0
0.240000,53.096541,53.857959,-0.761418,506.809263,-0.604624,-0.560396,0
0.245000,51.362994,52.715674,-1.352679,650.190708,-0.560396,-0.503657,0
0.250000,49.142136,51.259036,-2.116901,826.736662,-0.503657,-0.431510,0
0.255000,46.500105,50.194429,-3.694324,1229.901598,-0.431510,-0.324181,0
0.260000,43.515586,46.847610,-3.332024,1068.396269,-0.324181,-0.230946,0
0.265000,40.277461,44.265479,-3.988018,1041.100012,-0.230946,-0.140093,0
0.270000,36.882166,41.332212,-4.450046,1108.342239,-0.140093,-0.043372,0
0.275000,33.430818,38.333340,-4.902522,993.373999,-0.043372,0.043317,0
0.280000,30.026202,34.267335,-4.241133,804.749923,0.043317,0.113544,0
0.285000,26.769713,31.675469,-4.905756,859.423592,0.113544,0.188543,0
0.290000,23.758332,28.902357,-5.144025,836.153155,0.188543,0.261511,0
0.295000,21.081744,25.866357,-4.784613,743.965560,0.261511,0.326434,0
0.300000,18.819660,22.858762,-4.039102,627.670891,0.326434,0.381209,0
0.305000,17.039448,20.250634,-3.211185,481.885351,0.381209,0.423261,0
0.310000,15.794126,18.924644,-3.130518,406.902419,0.423261,0.458770,0
0.315000,15.120781,17.447188,-2.326408,255.566270,0.458770,0.481073,0
0.320000,15.039465,16.448608,-1.409143,95.025392,0.481073,0.489365,0
0.325000,15.552602,15.945396,-0.392794,-74.239551,0.489365,0.482887,0
0.330000,16.644907,16.448608,0.196299,-194.656594,0.482887,0.465900,0
0.335000,18.283853,16.949224,1.334629,-368.215834,0.465900,0.433767,0
0.340000,20.420627,17.942447,2.478180,-538.577164,0.433767,0.386767,0
0.345000,22.991595,20.071526,2.920070,-631.749678,0.386767,0.331637,0
0.350000,25.920190,22.380135,3.540055,-727.828721,0.331637,0.268121,0
0.355000,29.119193,25.173525,3.945669,-773.982151,0.268121,0.200579,0
0.360000,32.493335,28.194979,4.298356,-824.097241,0.200579,0.128663,0
0.365000,35.942129,31.231910,4.710219,-883.866111,0.128663,0.051531,0
0.370000,39.362865,33.835120,5.527745,-945.490461,0.051531,-0.030979,0
0.375000,42.653669,37.600405,5.053263,-946.690660,-0.030979,-0.113593,0
0.380000,45.716536,39.871809,5.844727,-1172.977818,-0.113593,-0.215955,0
