t,ref_mean_deg,meas_mean_deg
0.000000,1.569182,0.618268
0.005000,3.128689,2.060111
0.010000,4.668907,3.909768
0.015000,6.180340,5.998122
0.020000,7.653669,7.458223
0.025000,9.079810,8.510205
0.030000,10.449971,9.972185
0.035000,11.755705,11.188941
0.040000,12.988961,12.484185
0.045000,14.142136,13.535687
0.050000,15.208119,14.638279
0.055000,16.180340,15.832387
0.060000,17.052803,16.342883
0.065000,17.820130,17.452618
0.070000,18.477591,18.043412
0.075000,19.021130,18.762122
0.080000,19.447398,19.348472
0.085000,19.753767,19.417301
0.090000,19.938347,19.876872
0.095000,20.000000,19.681501
0.100000,19.938347,19.681501
0.105000,19.753767,19.417301
0.110000,19.447398,19.153327
0.115000,19.021130,18.566060
0.120000,18.477591,18.107769
0.125000,17.820130,17.650124
0.130000,17.052803,16.738759
0.135000,16.180340,16.285122
0.140000,15.208119,15.435862
0.145000,14.142136,14.136062
0.150000,12.988961,12.840679
0.155000,11.755705,12.238382
0.160000,10.449971,10.582328
0.165000,9.079810,9.496225
0.170000,7.653669,7.663587
0.175000,6.180340,6.408454
0.180000,4.668907,4.541094
0.185000,3.128689,3.088464
0.190000,1.569182,1.854228
0.195000,-0.000000,0.618268
0.200000,-1.569182,-1.236408
0.205000,-3.128689,-2.677314
0.210000,-4.668907,-4.319839
0.215000,-6.180340,-5.547229
0.220000,-7.653669,-6.972769
0.225000,-9.079810,-8.449431
0.230000,-10.449971,-9.699356
0.235000,-11.755705,-10.745857
0.240000,-12.988961,-12.439562
0.245000,-14.142136,-12.932608
0.250000,-15.208119,-14.136062
0.255000,-16.180340,-14.838047
0.260000,-17.052803,-15.776657
0.265000,-17.820130,-16.620757
0.270000,-18.477591,-17.072771
0.275000,-19.021130,-17.464136
0.280000,-19.447398,-17.784490
0.285000,-19.753767,-17.979931
0.290000,-19.938347,-18.370281
0.295000,-20.000000,-18.239180
0.300000,-19.938347,-18.629829
0.305000,-19.753767,-18.175699
0.310000,-19.447398,-18.434949
0.315000,-19.021130,-18.111031
0.320000,-18.477591,-17.721009
0.325000,-17.820130,-17.587846
0.330000,-17.052803,-17.072771
0.335000,-16.180340,-16.285122
0.340000,-15.208119,-15.381390
0.345000,-14.142136,-14.534455
0.350000,-12.988961,-13.535687
0.355000,-11.755705,-12.037202
0.360000,-10.449971,-11.148990
0.365000,-9.079810,-9.294008
0.370000,-7.653669,-7.839263
0.375000,-6.180340,-6.566299
0.380000,-4.668907,-5.138610
0.385000,-3.128689,-3.499296
0.390000,-1.569182,-1.854228
0.395000,0.000000,-0.412193
0.400000,1.569182,1.236408
0.405000,3.128689,2.471665
0.410000,4.668907,3.909768
0.415000,6.180340,5.998122
0.420000,7.653669,7.867514
0.425000,9.079810,9.122430
0.430000,10.449971,10.212004
0.435000,11.755705,11.269412
0.440000,12.988961,12.686085
0.445000,14.142136,13.785561
0.450000,15.208119,14.534455
0.455000,16.180340,15.634124
0.460000,17.052803,16.540821
0.465000,17.820130,17.452618
0.470000,18.477591,18.043412
0.475000,19.021130,18.762122
0.480000,19.447398,19.348472
0.485000,19.753767,19.417301
0.490000,19.938347,19.876872
