t,ref_now_deg,ref_aligned_deg,meas_deg,meas_lag1_deg,err_raw_deg,err_aligned_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible,rmse_aligned
0.000000,2.818025,nan,0.412193,1.236408,2.405832,nan,-680.947572,1.614839,1.555415,0,2.777997
0.005000,5.579822,2.818025,1.236408,2.882963,4.343415,1.581617,-910.955403,1.555415,1.475919,0,2.777997
0.010000,8.230287,5.579822,2.882963,4.969741,5.347324,2.696859,-1047.792081,1.475919,1.384482,0,2.777997
0.015000,10.716536,8.230287,4.969741,7.485039,5.746795,3.260546,-1047.505524,1.384482,1.293070,0,2.777997
0.020000,12.988961,10.716536,7.485039,9.936390,5.503922,3.231497,-889.174055,1.293070,1.215475,0,2.777997
0.025000,15.002221,12.988961,9.936390,11.633634,5.065831,3.052571,-738.594382,1.215475,1.151020,0,2.777997
0.030000,16.716147,15.002221,11.633634,13.335106,5.082513,3.368587,-692.786241,1.151020,1.090563,0,2.777997
0.035000,18.096541,16.716147,13.335106,14.638279,4.761435,3.381041,-660.230937,1.090563,1.032947,0,2.777997
0.040000,19.115860,18.096541,14.638279,16.342883,4.477582,3.458263,-652.840545,1.032947,0.975976,0,2.777997
0.045000,19.753767,19.115860,16.342883,17.255111,3.410884,2.772978,-493.354992,0.975976,0.932923,0,2.777997
0.050000,19.997533,19.753767,17.255111,18.434949,2.742422,2.498656,-356.650811,0.932923,0.901799,0,2.777997
0.055000,19.842294,19.997533,18.434949,18.566060,1.407345,1.562584,-119.532490,0.901799,0.891368,0,2.777997
0.060000,19.291148,19.842294,18.566060,18.566060,0.725088,1.276234,17.473014,0.891368,0.892893,0,2.777997
0.065000,18.355093,19.291148,18.566060,18.043412,-0.210968,0.725088,185.293003,0.892893,0.909063,0,2.777997
0.070000,17.052803,18.355093,18.043412,17.650124,-0.990609,0.311681,311.875965,0.909063,0.936279,0,2.777997
0.075000,15.410265,17.052803,17.650124,16.342883,-2.239859,-0.597321,478.476516,0.936279,0.978034,0,2.777997
0.080000,13.460250,15.410265,16.342883,15.435862,-2.882632,-0.932618,523.893509,0.978034,1.023752,0,2.777997
0.085000,11.241668,13.460250,15.435862,14.136062,-4.194194,-1.975612,664.649520,1.023752,1.081754,0,2.777997
0.090000,8.798783,11.241668,14.136062,12.123738,-5.337278,-2.894394,849.829618,1.081754,1.155916,0,2.777997
0.095000,6.180340,8.798783,12.123738,9.122896,-5.943398,-3.324955,1123.865167,1.155916,1.253991,0,2.777997
0.100000,3.438582,6.180340,9.122896,6.613460,-5.684314,-2.942556,1146.075174,1.253991,1.354005,0,2.777997
0.105000,0.628215,3.438582,6.613460,3.704627,-5.985245,-3.174878,1181.172515,1.354005,1.457082,0,2.777997
0.110000,-2.194686,0.628215,3.704627,1.236408,-5.899314,-3.076412,1209.106453,1.457082,1.562596,0,2.777997
0.115000,-4.973798,-2.194686,1.236408,-2.060111,-6.210205,-3.431094,1359.698843,1.562596,1.681252,0,2.777997
0.120000,-7.653669,-4.973798,-2.060111,-4.114909,-5.593558,-2.913687,1419.275725,1.681252,1.805108,0,2.777997
0.125000,-10.180828,-7.653669,-4.114909,-7.378536,-6.065919,-3.538760,1583.608002,1.805108,1.943304,0,2.777997
0.130000,-12.504853,-10.180828,-7.378536,-9.865807,-5.126317,-2.802292,1441.397668,1.943304,2.069089,0,2.777997
0.135000,-14.579373,-12.504853,-9.865807,-11.951875,-4.713566,-2.639046,1355.939251,2.069089,2.187417,0,2.777997
0.140000,-16.362994,-14.579373,-11.951875,-13.736268,-4.411119,-2.627497,1258.224761,2.187417,2.297218,0,2.777997
0.145000,-17.820130,-16.362994,-13.736268,-14.931417,-4.083862,-2.626726,1093.773790,2.297218,2.392668,0,2.777997
0.150000,-18.921707,-17.820130,-14.931417,-16.227361,-3.990290,-2.888713,906.828878,2.392668,2.471804,0,2.777997
0.155000,-19.645745,-18.921707,-16.227361,-16.738759,-3.418384,-2.694346,583.782763,2.471804,2.522748,0,2.777997
0.160000,-19.977797,-19.645745,-16.738759,-17.012547,-3.239039,-2.906986,346.997678,2.522748,2.553029,0,2.777997
0.165000,-19.911239,-19.977797,-17.012547,-17.132996,-2.898692,-2.965251,111.500155,2.553029,2.562760,0,2.777997
0.170000,-19.447398,-19.911239,-17.132996,-17.132996,-2.314402,-2.778243,-120.170711,2.562760,2.552273,0,2.777997
0.175000,-18.595530,-19.447398,-17.132996,-16.738759,-1.462534,-2.314402,-341.193393,2.552273,2.522498,0,2.777997
0.180000,-17.372630,-18.595530,-16.738759,-16.342883,-0.633872,-1.856771,-512.024547,2.522498,2.477816,0,2.777997
0.185000,-15.803100,-17.372630,-16.342883,-15.435862,0.539782,-1.029748,-729.010435,2.477816,2.414197,0,2.777997
0.190000,-13.918256,-15.803100,-15.435862,-14.534455,1.517606,-0.367238,-896.961739,2.414197,2.335923,0,2.777997
0.195000,-11.755705,-13.918256,-14.534455,-13.335106,2.778750,0.616199,-1105.849798,2.335923,2.239419,0,2.777997
0.200000,-9.358596,-11.755705,-13.335106,-11.551007,3.976510,1.579401,-1261.985705,2.239419,2.129290,0,2.777997
0.205000,-6.774758,-9.358596,-11.551007,-9.530128,4.776249,2.192411,-1303.272132,2.129290,2.015558,0,2.777997
0.210000,-4.055746,-6.774758,-9.530128,-7.431408,5.474382,2.755369,-1308.246673,2.015558,1.901392,0,2.777997
0.215000,-1.255810,-4.055746,-7.431408,-4.934164,6.175598,3.375662,-1320.709688,1.901392,1.786138,0,2.777997
0.220000,1.569182,-1.255810,-4.934164,-2.471665,6.503346,3.678354,-1292.273214,1.786138,1.673366,0,2.777997
0.225000,4.362865,1.569182,-2.471665,0.000000,6.834530,4.040847,-1287.875116,1.673366,1.560978,0,2.777997
0.230000,7.069497,4.362865,0.000000,2.882963,7.069497,4.362865,-1302.018466,1.560978,1.447355,0,2.777997
0.235000,9.635073,7.069497,2.882963,5.792796,6.752110,4.186533,-1235.181330,1.447355,1.339566,0,2.777997
0.240000,12.008405,9.635073,5.792796,9.122896,6.215608,3.842277,-1043.242146,1.339566,1.248525,0,2.777997
0.245000,14.142136,12.008405,9.122896,10.823011,5.019239,2.885508,-764.092202,1.248525,1.181846,0,2.777997
0.250000,15.993693,14.142136,10.823011,12.123738,5.170682,3.319124,-722.081968,1.181846,1.118832,0,2.777997
0.255000,17.526134,15.993693,12.123738,13.834853,5.402395,3.869955,-729.147410,1.118832,1.055202,0,2.777997
0.260000,18.708881,17.526134,13.834853,15.832387,4.874027,3.691280,-700.120934,1.055202,0.994105,0,2.777997
0.265000,19.518335,18.708881,15.832387,17.255111,3.685949,2.876494,-546.825138,0.994105,0.946386,0,2.777997
0.270000,19.938347,19.518335,17.255111,18.043412,2.683236,2.263224,-366.447829,0.946386,0.914407,0,2.777997
0.275000,19.960535,19.938347,18.043412,18.566060,1.917123,1.894935,-212.684108,0.914407,0.895847,0,2.777997
0.280000,19.584456,19.960535,18.566060,18.958183,1.018396,1.394474,-41.434735,0.895847,0.892231,0,2.777997
0.285000,18.817615,19.584456,18.958183,18.566060,-0.140568,0.626273,162.231944,0.892231,0.906388,0,2.777997
0.290000,17.675313,18.817615,18.566060,17.650124,-0.890748,0.251555,289.521726,0.906388,0.931654,0,2.777997
0.295000,16.180340,17.675313,17.650124,16.738759,-1.469784,0.025188,368.848069,0.931654,0.963842,0,2.777997
0.300000,14.362526,16.180340,16.738759,16.227361,-2.376233,-0.558419,472.029399,0.963842,1.005034,0,2.777997
0.305000,12.258141,14.362526,16.227361,14.534455,-3.969220,-1.864835,645.840154,1.005034,1.061394,0,2.777997
0.310000,9.909173,12.258141,14.534455,13.335106,-4.625282,-2.276314,730.058871,1.061394,1.125104,0,2.777997
0.315000,7.362491,9.909173,13.335106,10.416028,-5.972615,-3.425933,1043.805635,1.125104,1.216193,0,2.777997
0.320000,4.668907,7.362491,10.416028,7.431408,-5.747121,-3.053537,1157.676813,1.216193,1.317220,0,2.777997
0.325000,1.882166,4.668907,7.431408,4.969741,-5.549242,-2.762501,1116.785076,1.317220,1.414678,0,2.777997
0.330000,-0.942129,1.882166,4.969741,2.060111,-5.911870,-3.087574,1186.134580,1.414678,1.518187,0,2.777997
0.335000,-3.747626,-0.942129,2.060111,-0.412193,-5.807737,-3.002240,1247.490845,1.518187,1.627051,0,2.777997
0.340000,-6.478348,-3.747626,-0.412193,-3.293965,-6.066156,-3.335434,1423.563183,1.627051,1.751281,0,2.777997
0.345000,-9.079810,-6.478348,-3.293965,-6.159163,-5.785845,-3.184383,1514.282193,1.751281,1.883427,0,2.777997
0.350000,-11.500105,-9.079810,-6.159163,-8.652542,-5.340942,-2.920647,1472.424952,1.883427,2.011920,0,2.777997
0.355000,-13.690942,-11.500105,-8.652542,-10.745857,-5.038400,-2.847563,1418.415638,2.011920,2.135700,0,2.777997
0.360000,-15.608608,-13.690942,-10.745857,-12.840679,-4.862751,-2.945085,1372.502207,2.135700,2.255474,0,2.777997
0.365000,-17.214841,-15.608608,-12.840679,-14.534455,-4.374162,-2.767929,1218.038578,2.255474,2.361768,0,2.777997
