t,ref_now_deg,meas_deg,err_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,nan,34.992020,nan,-60.691059,0.024645,0.019349,0
0.005000,35.471065,35.417055,0.054009,-65.504130,0.019349,0.013633,0
0.010000,35.941083,35.719954,0.221129,-82.660694,0.013633,0.006419,0
0.015000,36.409012,36.142041,0.266971,-87.674837,0.006419,-0.001232,0
0.020000,36.873813,36.142041,0.731772,-136.176822,-0.001232,-0.013116,0
0.025000,37.334454,36.869898,0.464556,-109.965875,-0.013116,-0.022712,0
0.030000,37.789911,36.869898,0.920013,-159.678139,-0.022712,-0.036647,0
0.035000,38.239174,37.284326,0.954848,-166.975783,-0.036647,-0.051218,0
0.040000,38.681246,38.011510,0.669735,-139.232163,-0.051218,-0.063368,0
0.045000,39.115144,38.740964,0.374180,-108.017784,-0.063368,-0.072795,0
0.050000,39.539905,38.333340,1.206565,-205.752509,-0.072795,-0.090750,0
0.055000,39.954587,39.472460,0.482127,-124.727286,-0.090750,-0.101634,0
0.060000,40.358268,39.472460,0.885808,-174.543111,-0.101634,-0.116866,0
0.065000,40.750053,40.601295,0.148758,-85.120342,-0.116866,-0.124294,0
0.070000,41.129071,40.940654,0.188417,-88.570762,-0.124294,-0.132024,0
0.075000,41.494480,40.940654,0.553827,-132.676571,-0.132024,-0.143602,0
0.080000,41.845471,41.332212,0.513259,-125.987045,-0.143602,-0.154596,0
0.085000,42.181263,41.676880,0.504383,-122.563915,-0.154596,-0.165292,0
0.090000,42.501111,42.064327,0.436784,-111.108646,-0.165292,-0.174988,0
0.095000,42.804304,42.414206,0.390098,-101.891658,-0.174988,-0.183880,0
0.100000,43.090170,42.797402,0.292768,-85.977715,-0.183880,-0.191383,0
0.105000,43.358074,43.152390,0.205684,-71.246584,-0.191383,-0.197600,0
0.110000,43.607420,43.152390,0.455031,-99.181382,-0.197600,-0.206255,0
0.115000,43.837656,43.175910,0.661746,-121.520145,-0.206255,-0.216860,0
0.120000,44.048271,44.265479,-0.217208,-6.212968,-0.216860,-0.217402,0
0.125000,44.238795,43.905309,0.333486,-72.131730,-0.217402,-0.223697,0
0.130000,44.408808,43.905309,0.503498,-89.755019,-0.223697,-0.231529,0
0.135000,44.557930,44.265479,0.292451,-59.098710,-0.231529,-0.236687,0
0.140000,44.685832,44.635064,0.050768,-24.448233,-0.236687,-0.238820,0
0.145000,44.792228,44.635064,0.157164,-33.899183,-0.238820,-0.241779,0
0.150000,44.876883,44.265479,0.611404,-87.607490,-0.241779,-0.249424,0
0.155000,44.939610,44.630355,0.309255,-45.179559,-0.249424,-0.253366,0
0.160000,44.980267,45.000000,-0.019733,1.065545,-0.253366,-0.253273,0
0.165000,44.998766,45.000000,-0.001234,2.924162,-0.253273,-0.253018,0
0.170000,44.995066,44.630355,0.364711,-39.716391,-0.253018,-0.256484,0
0.175000,44.969173,45.000000,-0.030827,15.221750,-0.256484,-0.255156,0
0.180000,44.921147,45.000000,-0.078853,25.540637,-0.255156,-0.252927,0
0.185000,44.851093,45.000000,-0.148907,38.579309,-0.252927,-0.249560,0
0.190000,44.759168,44.265479,0.493689,-39.572787,-0.249560,-0.253014,0
0.195000,44.645574,45.000000,-0.354426,73.052785,-0.253014,-0.246639,0
0.200000,44.510565,44.265479,0.245086,0.129642,-0.246639,-0.246627,0
0.205000,44.354440,44.265479,0.088961,23.929602,-0.246627,-0.244539,0
0.210000,44.177546,44.635064,-0.457517,97.285330,-0.244539,-0.236049,0
0.215000,43.980276,44.265479,-0.285203,78.637421,-0.236049,-0.229187,0
0.220000,43.763067,44.265479,-0.502412,109.579196,-0.229187,-0.219624,0
0.225000,43.526402,43.905309,-0.378908,97.306560,-0.219624,-0.211133,0
0.230000,43.270806,43.891188,-0.620382,131.359805,-0.211133,-0.199669,0
0.235000,42.996847,43.175910,-0.179064,78.882097,-0.199669,-0.192786,0
0.240000,42.705132,42.797402,-0.092269,71.147811,-0.192786,-0.186577,0
0.245000,42.396311,43.152390,-0.756079,158.729429,-0.186577,-0.172725,0
0.250000,42.071068,42.414206,-0.343138,109.262243,-0.172725,-0.163190,0
0.255000,41.730125,42.064327,-0.334201,110.762697,-0.163190,-0.153524,0
0.260000,41.374240,41.676880,-0.302640,108.965843,-0.153524,-0.144015,0
0.265000,41.004202,41.332212,-0.328010,113.922200,-0.144015,-0.134074,0
0.270000,40.620834,41.332212,-0.711378,163.302644,-0.134074,-0.119823,0
0.275000,40.224986,40.601295,-0.376309,120.897738,-0.119823,-0.109272,0
0.280000,39.817537,39.871809,-0.054272,80.975841,-0.109272,-0.102206,0
0.285000,39.399392,39.871809,-0.472417,132.205607,-0.102206,-0.090669,0
0.290000,38.971479,39.472460,-0.500981,133.843563,-0.090669,-0.078989,0
0.295000,38.534748,38.740964,-0.206215,96.837518,-0.078989,-0.070538,0
0.300000,38.090170,39.143986,-1.053816,193.863785,-0.070538,-0.053620,0
0.305000,37.638730,38.011510,-0.372780,110.876651,-0.053620,-0.043945,0
0.310000,37.181432,38.333340,-1.151908,194.889899,-0.043945,-0.026937,0
0.315000,36.719291,36.869898,-0.150607,81.194825,-0.026937,-0.019852,0
0.320000,36.253332,37.284326,-1.030994,173.622867,-0.019852,-0.004700,0
0.325000,35.784591,36.869898,-1.085307,175.131592,-0.004700,0.010583,0
0.330000,35.314108,35.837653,-0.523545,114.390502,0.010583,0.020565,0
0.335000,34.842927,35.417055,-0.574128,118.306760,0.020565,0.030890,0
0.340000,34.372095,34.992020,-0.619925,121.868871,0.030890,0.041525,0
0.345000,33.902657,34.562525,-0.659868,125.014295,0.041525,0.052434,0
0.350000,33.435655,33.835120,-0.399464,98.198897,0.052434,0.061004,0
0.355000,32.972127,33.546109,-0.573982,115.147947,0.061004,0.071052,0
0.360000,32.513101,33.546109,-1.033007,160.757927,0.071052,0.085081,0
0.365000,32.059597,32.828542,-0.768945,133.858867,0.085081,0.096762,0
0.370000,31.612621,32.391393,-0.778772,134.331659,0.096762,0.108485,0
0.375000,31.173166,32.114831,-0.941665,150.136197,0.108485,0.121587,0
0.380000,30.742207,31.675469,-0.933262,148.351482,0.121587,0.134533,0
0.385000,30.320702,30.963757,-0.643055,117.549214,0.134533,0.144791,0
0.390000,29.909586,30.518231,-0.608645,112.436477,0.144791,0.154603,0
0.395000,29.509772,30.068583,-0.558811,105.543352,0.154603,0.163814,0
0.400000,29.122147,30.068583,-0.946435,142.688353,0.163814,0.176265,0
0.405000,28.747573,28.902357,-0.154784,60.579486,0.176265,0.181552,0
0.410000,28.386881,28.902357,-0.515476,94.756715,0.181552,0.189821,0
0.415000,28.040872,28.902357,-0.861485,127.063766,0.189821,0.200909,0
0.420000,27.710314,28.194979,-0.484665,86.877906,0.200909,0.208491,0
0.425000,27.395940,28.194979,-0.799039,115.756860,0.208491,0.218593,0
0.430000,27.098450,27.734191,-0.635741,97.018623,0.218593,0.227059,0
0.435000,26.818503,27.030860,-0.212357,52.674269,0.227059,0.231656,0
0.440000,26.556721,27.030860,-0.474140,76.204910,0.231656,0.238306,0
0.445000,26.313685,27.030860,-0.717175,97.799968,0.238306,0.246841,0
0.450000,26.089935,26.333086,-0.243151,48.492951,0.246841,0.251072,0
0.455000,25.885967,26.333086,-0.447118,66.178288,0.251072,0.256848,0
0.460000,25.702235,25.866357,-0.164122,35.674119,0.256848,0.259961,0
0.465000,25.539146,25.866357,-0.327210,49.243824,0.259961,0.264258,0
0.470000,25.397063,25.866357,-0.469294,60.727897,0.264258,0.269558,0
0.475000,25.276301,25.395912,-0.119611,23.448932,0.269558,0.271604,0
0.480000,25.177127,25.173525,0.003603,8.535606,0.271604,0.272349,0
0.485000,25.099763,25.173525,-0.073761,13.496030,0.272349,0.273527,0
0.490000,25.044380,25.173525,-0.129144,16.263888,0.273527,0.274946,0
0.495000,25.011101,25.173525,-0.162423,16.830851,0.274946,0.276415,0
