t,ref_now_deg,ref_aligned_deg,meas_deg,meas_lag1_deg,err_aligned_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,2.194686,nan,0.000000,1.648345,nan,-904.059298,1.614839,1.535945,0
0.005000,4.362865,2.194686,1.648345,3.293965,0.546342,-949.435184,1.535945,1.453091,0
0.010000,6.478348,4.362865,3.293965,5.381547,1.068900,-1000.692139,1.453091,1.365764,0
0.015000,8.515586,6.478348,5.381547,7.895765,1.096801,-972.683799,1.365764,1.280881,0
0.020000,10.449971,8.515586,7.895765,10.007980,0.619821,-828.091053,1.280881,1.208617,0
0.025000,12.258141,10.449971,10.007980,11.717435,0.441991,-687.058871,1.208617,1.148660,0
0.030000,13.918256,12.258141,11.717435,13.240520,0.540706,-594.075534,1.148660,1.096817,0
0.035000,15.410265,13.918256,13.240520,14.136062,0.677736,-541.346897,1.096817,1.049575,0
0.040000,16.716147,15.410265,14.136062,15.832387,1.274203,-587.970582,1.049575,0.998265,0
0.045000,17.820130,16.716147,15.832387,16.858399,0.883761,-474.008619,0.998265,0.956900,0
0.050000,18.708881,17.820130,16.858399,18.043412,0.961732,-412.517886,0.956900,0.920901,0
0.055000,19.371663,18.708881,18.043412,18.958183,0.665469,-270.112736,0.920901,0.897329,0
0.060000,19.800473,19.371663,18.958183,18.958183,0.413480,-129.495936,0.897329,0.886029,0
0.065000,19.990131,19.800473,18.958183,19.348472,0.842290,-105.855725,0.886029,0.876791,0
0.070000,19.938347,19.990131,19.348472,19.348472,0.641660,25.728515,0.876791,0.879036,0
0.075000,19.645745,19.938347,19.348472,18.958183,0.589875,130.292197,0.879036,0.890406,0
0.080000,19.115860,19.645745,18.958183,18.566060,0.687562,206.890284,0.890406,0.908461,0
0.085000,18.355093,19.115860,18.566060,18.043412,0.549800,320.010938,0.908461,0.936387,0
0.090000,17.372630,18.355093,18.043412,16.738759,0.311681,440.892332,0.936387,0.974862,0
0.095000,16.180340,17.372630,16.738759,15.832387,0.633872,441.860921,0.974862,1.013422,0
0.100000,14.792622,16.180340,15.832387,14.638279,0.347953,519.781696,1.013422,1.058782,0
0.105000,13.226237,14.792622,14.638279,13.736268,0.154343,560.637114,1.058782,1.107706,0
0.110000,11.500105,13.226237,13.736268,11.633634,-0.510031,694.100404,1.107706,1.168278,0
0.115000,9.635073,11.500105,11.633634,9.598903,-0.133529,713.613333,1.168278,1.230553,0
0.120000,7.653669,9.635073,9.598903,7.895765,0.036170,796.412789,1.230553,1.300053,0
0.125000,5.579822,7.653669,7.895765,5.792796,-0.242096,920.674311,1.300053,1.380397,0
0.130000,3.438582,5.579822,5.792796,3.293965,-0.212974,930.931017,1.380397,1.461636,0
0.135000,1.255810,3.438582,3.293965,2.060111,0.144617,862.693804,1.461636,1.536920,0
0.140000,-0.942129,1.255810,2.060111,-0.412193,-0.804301,1026.458320,1.536920,1.626495,0
0.145000,-3.128689,-0.942129,-0.412193,-2.471665,-0.529936,992.799741,1.626495,1.713133,0
0.150000,-5.277461,-3.128689,-2.471665,-4.524768,-0.657025,1035.365874,1.713133,1.803486,0
0.155000,-7.362491,-5.277461,-4.524768,-6.972769,-0.752693,1071.305311,1.803486,1.896975,0
0.160000,-9.358596,-7.362491,-6.972769,-7.839263,-0.389722,1003.799162,1.896975,1.984573,0
0.165000,-11.241668,-9.358596,-7.839263,-10.341645,-1.519333,1177.143327,1.984573,2.087298,0
0.170000,-12.988961,-11.241668,-10.341645,-12.037202,-0.900022,1001.526584,2.087298,2.174698,0
0.175000,-14.579373,-12.988961,-12.037202,-12.840679,-0.951759,929.189286,2.174698,2.255785,0
0.180000,-15.993693,-14.579373,-12.840679,-14.534455,-1.738694,984.550192,2.255785,2.341703,0
0.185000,-17.214841,-15.993693,-14.534455,-15.435862,-1.459238,825.173982,2.341703,2.413713,0
0.190000,-18.228066,-17.214841,-15.435862,-16.342883,-1.778979,760.393629,2.413713,2.480070,0
0.195000,-19.021130,-18.228066,-16.342883,-17.132996,-1.885183,632.929554,2.480070,2.535304,0
0.200000,-19.584456,-19.021130,-17.132996,-17.525568,-1.888134,463.661900,2.535304,2.575766,0
0.205000,-19.911239,-19.584456,-17.525568,-17.525568,-2.058888,312.905471,2.575766,2.603072,0
0.210000,-19.997533,-19.911239,-17.525568,-18.043412,-2.385671,187.235115,2.603072,2.619411,0
0.215000,-19.842294,-19.997533,-18.043412,-17.916449,-1.954121,-91.725763,2.619411,2.611407,0
0.220000,-19.447398,-19.842294,-17.916449,-17.525568,-1.925845,-271.948468,2.611407,2.587675,0
0.225000,-18.817615,-19.447398,-17.525568,-17.012547,-1.921830,-424.884319,2.587675,2.550597,0
0.230000,-17.960552,-18.817615,-17.012547,-16.738759,-1.805069,-573.313511,2.550597,2.500566,0
0.235000,-16.886559,-17.960552,-16.738759,-15.832387,-1.221793,-783.681755,2.500566,2.432176,0
0.240000,-15.608608,-16.886559,-15.832387,-14.931417,-1.054172,-873.470426,2.432176,2.355952,0
0.245000,-14.142136,-15.608608,-14.931417,-14.136062,-0.677191,-981.502909,2.355952,2.270299,0
0.250000,-12.504853,-14.142136,-14.136062,-12.439562,-0.006074,-1129.339509,2.270299,2.171746,0
0.255000,-10.716536,-12.504853,-12.439562,-10.745857,-0.065291,-1127.573927,2.171746,2.073347,0
0.260000,-8.798783,-10.716536,-10.745857,-8.652542,0.029321,-1153.706349,2.073347,1.972667,0
0.265000,-6.774758,-8.798783,-8.652542,-7.022794,-0.146242,-1111.134165,1.972667,1.875702,0
0.270000,-4.668907,-6.774758,-7.022794,-4.934164,0.248035,-1143.836929,1.875702,1.775883,0
0.275000,-2.506665,-4.668907,-4.934164,-2.471665,0.265257,-1075.546106,1.775883,1.682024,0
0.280000,-0.314146,-2.506665,-2.471665,-0.824343,-0.035000,-949.846384,1.682024,1.599135,0
0.285000,1.882166,-0.314146,-0.824343,1.648345,0.510196,-988.879693,1.599135,1.512839,0
0.290000,4.055746,1.882166,1.648345,3.293965,0.233822,-895.662444,1.512839,1.434677,0
0.295000,6.180340,4.055746,3.293965,5.381547,0.761781,-954.587730,1.434677,1.351374,0
