t,ref_now_deg,ref_aligned_deg,meas_deg,meas_lag1_deg,err_raw_deg,err_aligned_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible,rmse_aligned
0.000000,1.569182,nan,-0.412193,0.818455,1.981375,nan,-482.709981,1.614839,1.572714,0,1.550325
0.005000,3.128689,1.569182,0.818455,1.236408,2.310234,0.750726,-514.641487,1.572714,1.527804,0,1.550325
0.010000,4.668907,3.128689,1.236408,2.454032,3.432500,1.892282,-665.668635,1.527804,1.469713,0,1.550325
0.015000,6.180340,4.668907,2.454032,4.114909,3.726308,2.214876,-699.251325,1.469713,1.408692,0,1.550325
0.020000,7.653669,6.180340,4.114909,5.792796,3.538760,2.065431,-671.651698,1.408692,1.350079,0,1.550325
0.025000,9.079810,7.653669,5.792796,7.022794,3.287013,1.860872,-635.398922,1.350079,1.294630,0,1.550325
0.030000,10.449971,9.079810,7.022794,8.714733,3.427177,2.057016,-642.840681,1.294630,1.238532,0,1.550325
0.035000,11.755705,10.449971,8.714733,10.007980,3.040972,1.735238,-545.422003,1.238532,1.190935,0,1.550325
0.040000,12.988961,11.755705,10.007980,11.228892,2.980981,1.747725,-483.398578,1.190935,1.148750,0,1.550325
0.045000,14.142136,12.988961,11.228892,12.123738,2.913244,1.760069,-430.641259,1.148750,1.111170,0,1.550325
0.050000,15.208119,14.142136,12.123738,13.335106,3.084381,2.018397,-430.360084,1.111170,1.073614,0,1.550325
0.055000,16.180340,15.208119,13.335106,14.638279,2.845234,1.873013,-402.360687,1.073614,1.038501,0,1.550325
0.060000,17.052803,16.180340,14.638279,15.546327,2.414525,1.542061,-363.105377,1.038501,1.006814,0,1.550325
0.065000,17.820130,17.052803,15.546327,16.227361,2.273803,1.506476,-359.163707,1.006814,0.975471,0,1.550325
0.070000,18.477591,17.820130,16.227361,17.132996,2.250230,1.592769,-364.242590,0.975471,0.943685,0,1.550325
0.075000,19.021130,18.477591,17.132996,18.043412,1.888134,1.344594,-310.592508,0.943685,0.916581,0,1.550325
0.080000,19.447398,19.021130,18.043412,18.434949,1.403986,0.977718,-229.741828,0.916581,0.896532,0,1.550325
0.085000,19.753767,19.447398,18.434949,19.348472,1.318818,1.012450,-204.110360,0.896532,0.878720,0,1.550325
0.090000,19.938347,19.753767,19.348472,19.348472,0.589875,0.405295,-83.846615,0.878720,0.871403,0,1.550325
0.095000,20.000000,19.938347,19.348472,19.348472,0.651528,0.589875,-79.598842,0.871403,0.864457,0,1.550325
0.100000,19.938347,20.000000,19.348472,19.348472,0.589875,0.651528,-57.577458,0.864457,0.859432,0,1.550325
0.105000,19.753767,19.938347,19.348472,19.348472,0.405295,0.589875,-17.945943,0.859432,0.857866,0,1.550325
0.110000,19.447398,19.753767,19.348472,19.348472,0.098927,0.405295,39.164332,0.857866,0.861284,0,1.550325
0.115000,19.021130,19.447398,19.348472,19.348472,-0.327341,0.098927,113.700317,0.861284,0.871206,0,1.550325
0.120000,18.477591,19.021130,19.348472,18.958183,-0.870881,-0.327341,205.664644,0.871206,0.889154,0,1.550325
0.125000,17.820130,18.477591,18.958183,18.434949,-1.138053,-0.480593,257.582451,0.889154,0.911632,0,1.550325
0.130000,17.052803,17.820130,18.434949,17.650124,-1.382146,-0.614818,304.630892,0.911632,0.938216,0,1.550325
0.135000,16.180340,17.052803,17.650124,16.738759,-1.469784,-0.597321,323.656144,0.938216,0.966460,0,1.550325
0.140000,15.208119,16.180340,16.738759,15.832387,-1.530639,-0.558419,329.526238,0.966460,0.995217,0,1.550325
0.145000,14.142136,15.208119,15.832387,15.832387,-1.690251,-0.624267,338.691687,0.995217,1.024773,0,1.550325
0.150000,12.988961,14.142136,15.832387,14.638279,-2.843426,-1.690251,471.611400,1.024773,1.065929,0,1.550325
0.155000,11.755705,12.988961,14.638279,13.335106,-2.882573,-1.649318,440.846061,1.065929,1.104400,0,1.550325
0.160000,10.449971,11.755705,13.335106,12.037202,-2.885135,-1.579401,430.208733,1.104400,1.141943,0,1.550325
0.165000,9.079810,10.449971,12.037202,11.228892,-2.957392,-1.587231,456.343446,1.141943,1.181766,0,1.550325
0.170000,7.653669,9.079810,11.228892,9.530128,-3.575223,-2.149082,580.311313,1.181766,1.232408,0,1.550325
0.175000,6.180340,7.653669,9.530128,7.839263,-3.349788,-1.876459,615.875364,1.232408,1.286153,0,1.550325
0.180000,4.668907,6.180340,7.839263,6.203448,-3.170356,-1.658923,634.586528,1.286153,1.341532,0,1.550325
0.185000,3.128689,4.668907,6.203448,4.934164,-3.074759,-1.534541,631.762442,1.341532,1.396663,0,1.550325
0.190000,1.569182,3.128689,4.934164,3.293965,-3.364982,-1.805475,667.999678,1.396663,1.454957,0,1.550325
0.195000,-0.000000,1.569182,3.293965,2.060111,-3.293965,-1.724783,649.652125,1.454957,1.511650,0,1.550325
0.200000,-1.569182,-0.000000,2.060111,0.412193,-3.629293,-2.060111,698.692918,1.511650,1.572622,0,1.550325
0.205000,-3.128689,-1.569182,0.412193,-0.818455,-3.540882,-1.981375,696.748564,1.572622,1.633425,0,1.550325
0.210000,-4.668907,-3.128689,-0.818455,-2.882963,-3.850452,-2.310234,764.581837,1.633425,1.700148,0,1.550325
0.215000,-6.180340,-4.668907,-2.882963,-4.114909,-3.297376,-1.785944,713.221671,1.700148,1.762388,0,1.550325
0.220000,-7.653669,-6.180340,-4.114909,-5.751402,-3.538760,-2.065431,786.357342,1.762388,1.831011,0,1.550325
0.225000,-9.079810,-7.653669,-5.751402,-6.972769,-3.328408,-1.902267,791.255632,1.831011,1.900061,0,1.550325
0.230000,-10.449971,-9.079810,-6.972769,-7.839263,-3.477202,-2.107041,846.777723,1.900061,1.973956,0,1.550325
0.235000,-11.755705,-10.449971,-7.839263,-9.865807,-3.916442,-2.610708,942.256144,1.973956,2.056183,0,1.550325
0.240000,-12.988961,-11.755705,-9.865807,-10.745857,-3.123154,-1.889898,813.754025,2.056183,2.127197,0,1.550325
0.245000,-14.142136,-12.988961,-10.745857,-12.439562,-3.396278,-2.243104,859.084953,2.127197,2.202166,0,1.550325
0.250000,-15.208119,-14.142136,-12.439562,-13.240520,-2.768557,-1.702574,743.665679,2.202166,2.267063,0,1.550325
0.255000,-16.180340,-15.208119,-13.240520,-14.534455,-2.939820,-1.967599,767.000118,2.267063,2.333997,0,1.550325
0.260000,-17.052803,-16.180340,-14.534455,-14.931417,-2.518348,-1.645885,680.893332,2.333997,2.393416,0,1.550325
0.265000,-17.820130,-17.052803,-14.931417,-15.832387,-2.888713,-2.121386,734.086269,2.393416,2.457477,0,1.550325
0.270000,-18.477591,-17.820130,-15.832387,-16.738759,-2.645204,-1.987744,666.663673,2.457477,2.515654,0,1.550325
0.275000,-19.021130,-18.477591,-16.738759,-17.132996,-2.282372,-1.738832,562.050574,2.515654,2.564702,0,1.550325
0.280000,-19.447398,-19.021130,-17.132996,-17.525568,-2.314402,-1.888134,520.603889,2.564702,2.610134,0,1.550325
0.285000,-19.753767,-19.447398,-17.525568,-18.043412,-2.228198,-1.921830,444.836633,2.610134,2.648953,0,1.550325
0.290000,-19.938347,-19.753767,-18.043412,-18.434949,-1.894935,-1.710355,308.896101,2.648953,2.675909,0,1.550325
0.295000,-20.000000,-19.938347,-18.434949,-18.434949,-1.565051,-1.503398,166.703310,2.675909,2.690457,0,1.550325
0.300000,-19.938347,-20.000000,-18.434949,-18.434949,-1.503398,-1.565051,78.147104,2.690457,2.697276,0,1.550325
0.305000,-19.753767,-19.938347,-18.434949,-18.434949,-1.318818,-1.503398,-34.332437,2.697276,2.694280,0,1.550325
0.310000,-19.447398,-19.753767,-18.434949,-18.434949,-1.012450,-1.318818,-166.611491,2.694280,2.679741,0,1.550325
0.315000,-19.021130,-19.447398,-18.434949,-18.434949,-0.586182,-1.012450,-313.518605,2.679741,2.652381,0,1.550325
0.320000,-18.477591,-19.021130,-18.434949,-18.043412,-0.042642,-0.586182,-469.042725,2.652381,2.611449,0,1.550325
0.325000,-17.820130,-18.477591,-18.043412,-17.525568,0.223282,-0.434179,-547.743454,2.611449,2.563650,0,1.550325
0.330000,-17.052803,-17.820130,-17.525568,-17.132996,0.472765,-0.294562,-606.544490,2.563650,2.510719,0,1.550325
0.335000,-16.180340,-17.052803,-17.132996,-16.227361,0.952656,0.080193,-695.597019,2.510719,2.450016,0,1.550325
0.340000,-15.208119,-16.180340,-16.227361,-15.435862,1.019242,0.047021,-688.111334,2.450016,2.389967,0,1.550325
0.345000,-14.142136,-15.208119,-15.435862,-14.534455,1.293726,0.227743,-716.731307,2.389967,2.327421,0,1.550325
0.350000,-12.988961,-14.142136,-14.534455,-13.736268,1.545494,0.392319,-737.297720,2.327421,2.263079,0,1.550325
