t,ref_mean_deg,meas_mean_deg
0.000000,1.569182,0.548595
0.005000,3.128689,1.233465
0.010000,4.668907,2.471665
0.015000,6.180340,4.114909
0.020000,7.653669,5.792796
0.025000,9.079810,7.158999
0.030000,10.449971,8.578381
0.035000,11.755705,9.800969
0.040000,12.988961,10.823011
0.045000,14.142136,12.123738
0.050000,15.208119,13.066774
0.055000,16.180340,14.203541
0.060000,17.052803,15.340002
0.065000,17.820130,16.606800
0.070000,18.477591,17.346336
0.075000,19.021130,18.043412
0.080000,19.447398,18.566060
0.085000,19.753767,19.218375
0.090000,19.938347,19.348472
0.095000,20.000000,19.477948
0.100000,19.938347,19.783558
0.105000,19.753767,19.607425
0.110000,19.447398,19.348472
0.115000,19.021130,19.088279
0.120000,18.477591,18.782985
0.125000,17.820130,18.304437
0.130000,17.052803,17.650124
0.135000,16.180340,16.738759
0.140000,15.208119,16.001715
0.145000,14.142136,15.604859
0.150000,12.988961,14.534455
0.155000,11.755705,13.667383
0.160000,10.449971,12.497742
0.165000,9.079810,11.228892
0.170000,7.653669,9.258640
0.175000,6.180340,7.586194
0.180000,4.668907,6.613460
0.185000,3.128689,4.820441
0.190000,1.569182,3.293965
0.195000,-0.000000,1.922856
0.200000,-1.569182,0.411211
0.205000,-3.128689,-1.648288
0.210000,-4.668907,-2.882963
0.215000,-6.180340,-4.251529
0.220000,-7.653669,-6.023243
0.225000,-9.079810,-7.243280
0.230000,-10.449971,-8.787657
0.235000,-11.755705,-10.317199
0.240000,-12.988961,-11.417001
0.245000,-14.142136,-12.706973
0.250000,-15.208119,-13.869533
0.255000,-16.180340,-14.799096
0.260000,-17.052803,-15.435862
0.265000,-17.820130,-16.474841
0.270000,-18.477591,-17.092846
0.275000,-19.021130,-17.567087
0.280000,-19.447398,-18.043412
0.285000,-19.753767,-18.001091
0.290000,-19.938347,-18.304437
0.295000,-20.000000,-18.173924
0.300000,-19.938347,-18.348140
0.305000,-19.753767,-18.564869
0.310000,-19.447398,-18.173924
0.315000,-19.021130,-18.173924
0.320000,-18.477591,-18.304437
0.325000,-17.820130,-17.912316
0.330000,-17.052803,-17.525568
0.335000,-16.180340,-17.132996
0.340000,-15.208119,-16.304375
0.345000,-14.142136,-15.435862
0.350000,-12.988961,-14.534455
0.355000,-11.755705,-13.869533
0.360000,-10.449971,-12.439562
0.365000,-9.079810,-11.282996
0.370000,-7.653669,-9.800969
0.375000,-6.180340,-8.517135
0.380000,-4.668907,-6.718464
0.385000,-3.128689,-5.751402
0.390000,-1.569182,-3.704627
0.395000,0.000000,-2.192395
0.400000,1.569182,-0.961698
0.405000,3.128689,0.822380
0.410000,4.668907,2.197296
0.415000,6.180340,3.978149
0.420000,7.653669,5.792796
0.425000,9.079810,7.449285
0.430000,10.449971,8.714733
0.435000,11.755705,9.848696
0.440000,12.988961,11.093598
0.445000,14.142136,12.258761
0.450000,15.208119,13.200940
0.455000,16.180340,14.203541
0.460000,17.052803,15.642528
0.465000,17.820130,16.210387
0.470000,18.477591,17.608606
0.475000,19.021130,18.173924
0.480000,19.447398,18.652277
0.485000,19.753767,19.218375
0.490000,19.938347,19.348472
