t,ref_now_deg,meas_deg,err_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,nan,34.992020,nan,-139.862393,0.024645,0.012440,0
0.005000,36.097343,35.719954,0.377389,-177.261872,0.012440,-0.003029,0
0.010000,37.181432,35.837653,1.343779,-277.534846,-0.003029,-0.027249,0
0.015000,38.239174,36.869898,1.369277,-286.745981,-0.027249,-0.052272,0
0.020000,39.257793,38.011510,1.246283,-281.189701,-0.052272,-0.076810,0
0.025000,40.224986,38.740964,1.484022,-314.918204,-0.076810,-0.104292,0
0.030000,41.129071,39.871809,1.257262,-291.442621,-0.104292,-0.129725,0
0.035000,41.959128,40.940654,1.018474,-256.089887,-0.129725,-0.152073,0
0.040000,42.705132,41.676880,1.028253,-243.594097,-0.152073,-0.173331,0
0.045000,43.358074,42.414206,0.943868,-214.277606,-0.173331,-0.192030,0
0.050000,43.910065,42.797402,1.112663,-214.611363,-0.192030,-0.210759,0
0.055000,44.354440,43.531199,0.823241,-155.840017,-0.210759,-0.224358,0
0.060000,44.685832,43.891188,0.794644,-130.147479,-0.224358,-0.235716,0
0.065000,44.900237,44.265479,0.634758,-87.644141,-0.235716,-0.243364,0
0.070000,44.995066,44.265479,0.729587,-77.239943,-0.243364,-0.250105,0
0.075000,44.969173,44.265479,0.703694,-51.414978,-0.250105,-0.254591,0
0.080000,44.822873,45.000000,-0.177127,83.854218,-0.254591,-0.247274,0
0.085000,44.557930,44.265479,0.292451,44.476017,-0.247274,-0.243392,0
0.090000,44.177546,44.265479,-0.087933,112.909775,-0.243392,-0.233539,0
0.095000,43.686315,44.265479,-0.579164,193.394332,-0.233539,-0.216662,0
0.100000,43.090170,43.531199,-0.441029,192.871674,-0.216662,-0.199831,0
0.105000,42.396311,43.531199,-1.134888,297.467002,-0.199831,-0.173872,0
0.110000,41.613119,42.414206,-0.801087,270.429529,-0.173872,-0.150273,0
0.115000,40.750053,41.332212,-0.582159,252.980135,-0.150273,-0.128196,0
0.120000,39.817537,40.940654,-1.123117,324.841675,-0.128196,-0.099848,0
0.125000,38.826834,39.472460,-0.645626,258.822257,-0.099848,-0.077262,0
0.130000,37.789911,39.143986,-1.354075,332.626489,-0.077262,-0.048235,0
0.135000,36.719291,38.011510,-1.292219,305.427195,-0.048235,-0.021581,0
0.140000,35.627905,37.184706,-1.556801,316.326886,-0.021581,0.006024,0
0.145000,34.528935,36.142041,-1.613106,307.064954,0.006024,0.032820,0
0.150000,33.435655,34.992020,-1.556365,291.568868,0.032820,0.058264,0
0.155000,32.361270,33.835120,-1.473850,277.458559,0.058264,0.082477,0
0.160000,31.318754,33.111342,-1.792587,304.929978,0.082477,0.109087,0
0.165000,30.320702,32.114831,-1.794129,299.738414,0.109087,0.135244,0
0.170000,29.379166,30.963757,-1.584590,270.061091,0.135244,0.158812,0
0.175000,28.505520,30.068583,-1.563063,256.324359,0.158812,0.181180,0
0.180000,27.710314,28.902357,-1.192043,205.493377,0.181180,0.199113,0
0.185000,27.003153,28.442929,-1.439775,216.339041,0.199113,0.217992,0
0.190000,26.392580,27.734191,-1.341611,192.194469,0.217992,0.234764,0
0.195000,25.885967,26.565051,-0.679084,112.436193,0.234764,0.244576,0
0.200000,25.489435,26.565051,-1.075616,137.390503,0.244576,0.256566,0
0.205000,25.207772,26.333086,-1.125314,127.841445,0.256566,0.267722,0
0.210000,25.044380,25.866357,-0.821976,83.181050,0.267722,0.274981,0
0.215000,25.001234,25.173525,-0.172291,3.884070,0.274981,0.275320,0
0.220000,25.078853,25.173525,-0.094672,-18.573185,0.275320,0.273699,0
0.225000,25.276301,25.173525,0.102776,-52.558698,0.273699,0.269112,0
0.230000,25.591192,25.395912,0.195280,-75.503615,0.269112,0.262523,0
0.235000,26.019724,25.866357,0.153367,-84.358579,0.262523,0.255162,0
0.240000,26.556721,25.866357,0.690364,-149.643144,0.255162,0.242103,0
0.245000,27.195696,26.565051,0.630645,-154.899913,0.242103,0.228585,0
0.250000,27.928932,27.030860,0.898072,-191.779029,0.228585,0.211849,0
0.255000,28.747573,27.734191,1.013383,-213.149986,0.211849,0.193249,0
0.260000,29.641732,28.902357,0.739375,-195.213638,0.193249,0.176213,0
0.265000,30.600608,28.902357,1.698251,-299.658613,0.176213,0.150063,0
0.270000,31.612621,30.518231,1.094390,-246.117907,0.150063,0.128585,0
0.275000,32.665546,31.231910,1.433637,-284.412710,0.128585,0.103765,0
0.280000,33.746668,31.949971,1.796696,-321.617689,0.103765,0.075699,0
0.285000,34.842927,33.546109,1.296818,-268.547732,0.075699,0.052264,0
0.290000,35.941083,33.835120,2.105963,-347.077713,0.052264,0.021975,0
