t,ref_now_deg,ref_aligned_deg,meas_deg,meas_lag1_deg,err_aligned_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,1.569182,nan,0.000000,0.824343,nan,-655.460857,1.614839,1.557639,0
0.005000,3.128689,1.569182,0.824343,2.060111,0.744839,-760.681030,1.557639,1.491257,0
0.010000,4.668907,3.128689,2.060111,3.704627,1.068578,-795.860133,1.491257,1.421805,0
0.015000,6.180340,4.668907,3.704627,6.203448,0.964280,-764.138623,1.421805,1.355122,0
0.020000,7.653669,6.180340,6.203448,7.431408,-0.023108,-579.739756,1.355122,1.304530,0
0.025000,9.079810,7.653669,7.431408,8.305676,0.222261,-596.866796,1.304530,1.252443,0
0.030000,10.449971,9.079810,8.305676,10.007980,0.774134,-647.273800,1.252443,1.195958,0
0.035000,11.755705,10.449971,10.007980,11.148990,0.441991,-524.014004,1.195958,1.150229,0
0.040000,12.988961,11.755705,11.148990,12.439562,0.606715,-492.505247,1.150229,1.107250,0
0.045000,14.142136,12.988961,12.439562,13.335106,0.549399,-441.790371,1.107250,1.068696,0
0.050000,15.208119,14.142136,13.335106,14.638279,0.807029,-459.265348,1.068696,1.028618,0
0.055000,16.180340,15.208119,14.638279,15.832387,0.569841,-404.954873,1.028618,0.993279,0
0.060000,17.052803,16.180340,15.832387,16.342883,0.347953,-346.013117,0.993279,0.963084,0
0.065000,17.820130,17.052803,16.342883,17.650124,0.709921,-374.892095,0.963084,0.930368,0
0.070000,18.477591,17.820130,17.650124,18.043412,0.170006,-240.869378,0.930368,0.909348,0
0.075000,19.021130,18.477591,18.043412,18.958183,0.434179,-239.297677,0.909348,0.888466,0
0.080000,19.447398,19.021130,18.958183,19.348472,0.062947,-126.024740,0.888466,0.877468,0
0.085000,19.753767,19.447398,19.348472,19.348472,0.098927,-82.507059,0.877468,0.870268,0
0.090000,19.938347,19.753767,19.348472,19.876872,0.405295,-85.442406,0.870268,0.862812,0
0.095000,20.000000,19.938347,19.876872,19.486130,0.061474,23.756872,0.862812,0.864885,0
0.100000,19.938347,20.000000,19.486130,19.876872,0.513870,-4.515403,0.864885,0.864491,0
0.105000,19.753767,19.938347,19.876872,19.348472,0.061474,122.743306,0.864491,0.875202,0
0.110000,19.447398,19.753767,19.348472,19.348472,0.405295,112.385582,0.875202,0.885010,0
0.115000,19.021130,19.447398,19.348472,18.566060,0.098927,213.226235,0.885010,0.903617,0
0.120000,18.477591,19.021130,18.566060,18.043412,0.455070,198.274796,0.903617,0.920920,0
0.125000,17.820130,18.477591,18.043412,17.650124,0.434179,245.637893,0.920920,0.942356,0
0.130000,17.052803,17.820130,17.650124,16.738759,0.170006,330.027901,0.942356,0.971156,0
0.135000,16.180340,17.052803,16.738759,16.227361,0.314045,333.903387,0.971156,1.000295,0
0.140000,15.208119,16.180340,16.227361,15.435862,-0.047021,412.619366,1.000295,1.036303,0
0.145000,14.142136,15.208119,15.435862,14.136062,-0.227743,446.056242,1.036303,1.075228,0
0.150000,12.988961,14.142136,14.136062,12.840679,0.006074,411.270580,1.075228,1.111118,0
0.155000,11.755705,12.988961,12.840679,12.037202,0.148282,406.764199,1.111118,1.146615,0
0.160000,10.449971,11.755705,12.037202,10.823011,-0.281497,511.144090,1.146615,1.191221,0
0.165000,9.079810,10.449971,10.823011,9.530128,-0.373040,582.436022,1.191221,1.242048,0
0.170000,7.653669,9.079810,9.530128,7.431408,-0.450318,658.394162,1.242048,1.299504,0
0.175000,6.180340,7.653669,7.431408,6.613460,0.222261,584.839958,1.299504,1.350541,0
0.180000,4.668907,6.180340,6.613460,4.524768,-0.433121,712.771395,1.350541,1.412742,0
0.185000,3.128689,4.668907,4.524768,2.882963,0.144139,613.191585,1.412742,1.466253,0
0.190000,1.569182,3.128689,2.882963,2.060111,0.245726,595.077904,1.466253,1.518183,0
0.195000,-0.000000,1.569182,2.060111,0.824343,-0.490929,723.862311,1.518183,1.581352,0
0.200000,-1.569182,-0.000000,0.824343,-1.236408,-0.824343,788.947831,1.581352,1.650201,0
0.205000,-3.128689,-1.569182,-1.236408,-2.471665,-0.332774,717.436274,1.650201,1.712809,0
0.210000,-4.668907,-3.128689,-2.471665,-4.524768,-0.657025,789.624780,1.712809,1.781717,0
0.215000,-6.180340,-4.668907,-4.524768,-5.751402,-0.144139,715.166545,1.781717,1.844127,0
0.220000,-7.653669,-6.180340,-5.751402,-6.972769,-0.428938,774.870365,1.844127,1.911747,0
0.225000,-9.079810,-7.653669,-6.972769,-8.652542,-0.680899,821.898916,1.911747,1.983471,0
0.230000,-10.449971,-9.079810,-8.652542,-9.462322,-0.427268,763.682306,1.983471,2.050115,0
0.235000,-11.755705,-10.449971,-9.462322,-10.745857,-0.987649,844.111841,2.050115,2.123778,0
0.240000,-12.988961,-11.755705,-10.745857,-12.439562,-1.009848,817.806653,2.123778,2.195145,0
0.245000,-14.142136,-12.988961,-12.439562,-12.932608,-0.549399,694.731938,2.195145,2.255772,0
0.250000,-15.208119,-14.142136,-12.932608,-14.136062,-1.209527,779.084992,2.255772,2.323760,0
0.255000,-16.180340,-15.208119,-14.136062,-14.638279,-1.072058,709.751287,2.323760,2.385697,0
0.260000,-17.052803,-16.180340,-14.638279,-15.832387,-1.542061,751.386697,2.385697,2.451268,0
0.265000,-17.820130,-17.052803,-15.832387,-16.620757,-1.220417,632.471877,2.451268,2.506462,0
