run_idx,per_run_rmse_deg
0,3.278791
1,3.279778
2,3.276881

metric,deg
mean_per_run_rmse,3.278483
std_per_run_rmse,0.001202
median_per_run_rmse,3.278791
p90_per_run_rmse,3.279580
rmse_of_mean_curve,3.275319
