t,ref_now_deg,meas_deg,err_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,nan,0.000000,nan,-2936.164481,0.932235,0.676007,0
0.005000,22.890819,7.835525,15.055294,-2104.035948,0.676007,0.492395,0
0.010000,27.057592,15.164461,11.893131,-1512.002978,0.492395,0.360448,0
0.015000,30.730562,20.738709,9.991853,-1299.662157,0.360448,0.247031,0
0.020000,33.833196,25.395912,8.437284,-1046.054998,0.247031,0.155745,0
0.025000,36.311349,29.614812,6.696538,-837.999093,0.155745,0.082616,0
0.030000,38.135093,32.391393,5.743699,-669.130010,0.082616,0.024223,0
0.035000,39.299541,34.562525,4.737016,-505.275102,0.024223,-0.019870,0
0.040000,39.824654,36.450923,3.373731,-325.645170,-0.019870,-0.048288,0
0.045000,39.754018,37.600405,2.153613,-144.026902,-0.048288,-0.060857,0
0.050000,39.152661,38.011510,1.141150,24.694217,-0.060857,-0.058702,0
0.055000,38.104000,38.333340,-0.229340,220.516603,-0.058702,-0.039458,0
0.060000,36.706044,37.600405,-0.894361,306.021667,-0.039458,-0.012753,0
0.065000,35.067009,36.869898,-1.802889,390.664424,-0.012753,0.021339,0
0.070000,33.300535,34.992020,-1.691485,360.099592,0.021339,0.052764,0
0.075000,31.520712,33.546109,-2.025397,374.688257,0.052764,0.085462,0
0.080000,29.837099,32.391393,-2.554294,404.823325,0.085462,0.120789,0
0.085000,28.349978,30.963757,-2.613779,381.586875,0.120789,0.154089,0
0.090000,27.146005,29.614812,-2.468807,326.268166,0.154089,0.182561,0
0.095000,26.294477,28.902357,-2.607880,291.287381,0.182561,0.207981,0
0.100000,25.844335,27.734191,-1.889855,174.020951,0.207981,0.223167,0
0.105000,25.822062,27.030860,-1.208799,63.388964,0.223167,0.228699,0
0.110000,26.230527,27.030860,-0.800333,-18.227378,0.228699,0.227108,0
0.115000,27.048866,27.030860,0.018006,-133.298773,0.227108,0.215476,0
0.120000,28.233365,27.030860,1.202504,-276.490177,0.215476,0.191347,0
0.125000,29.719331,28.194979,1.524351,-332.628395,0.191347,0.162320,0
0.130000,31.423871,28.651828,2.772043,-469.435471,0.162320,0.121354,0
0.135000,33.249457,30.963757,2.285701,-424.999105,0.121354,0.084266,0
0.140000,35.088128,32.391393,2.696735,-447.102428,0.084266,0.045249,0
0.145000,36.826159,33.835120,2.991039,-447.472691,0.045249,0.006199,0
0.150000,38.349001,35.417055,2.931946,-416.063909,0.006199,-0.030109,0
0.155000,39.546280,36.869898,2.676382,-362.530807,-0.030109,-0.061746,0
0.160000,40.316650,38.011510,2.305140,-275.243377,-0.061746,-0.085765,0
0.165000,40.572300,39.143986,1.428314,-96.657056,-0.085765,-0.094200,0
0.170000,40.242919,39.143986,1.098932,39.400310,-0.094200,-0.090762,0
0.175000,39.278955,38.740964,0.537991,203.567084,-0.090762,-0.072997,0
0.180000,37.654036,38.333340,-0.679304,422.067584,-0.072997,-0.036165,0
0.185000,35.366444,37.184706,-1.818262,574.107697,-0.036165,0.013935,0
0.190000,32.439576,35.417055,-2.977480,694.498753,0.013935,0.074542,0
0.195000,28.921382,32.828542,-3.907160,825.645534,0.074542,0.146593,0
0.200000,24.882790,29.809114,-4.926324,980.372005,0.146593,0.232147,0
0.205000,20.415188,27.030860,-6.615673,1136.261638,0.232147,0.331304,0
0.210000,15.627057,22.380135,-6.753078,1203.168751,0.331304,0.436300,0
0.215000,10.639907,18.103763,-7.463856,1256.945101,0.436300,0.545989,0
0.220000,5.583662,13.150949,-7.567286,1281.209093,0.545989,0.657796,0
0.225000,0.591705,8.864623,-8.272918,1452.093031,0.657796,0.784515,0
0.230000,-4.204230,4.159642,-8.363873,1578.292755,0.784515,0.922247,0
0.235000,-8.679106,0.000000,-8.679106,1766.350076,0.922247,1.076390,0
0.240000,-12.719348,-5.241820,-7.477528,1728.575773,1.076390,1.227237,0
0.245000,-16.227160,-9.549134,-6.678026,1594.347656,1.227237,1.366370,0
0.250000,-19.124187,-12.757532,-6.366655,1466.708983,1.366370,1.494365,0
0.255000,-21.354387,-16.090816,-5.263571,1201.932031,1.494365,1.599253,0
0.260000,-22.885995,-18.267906,-4.618089,937.000089,1.599253,1.681022,0
0.265000,-23.712499,-20.618188,-3.094311,424.679183,1.681022,1.718082,0
0.270000,-23.852582,-20.618188,-3.234394,214.383141,1.718082,1.736790,0
0.275000,-23.349048,-21.113500,-2.235548,-186.572286,1.736790,1.720509,0
0.280000,-22.266765,-21.113500,-1.153265,-541.571138,1.720509,1.673248,0
0.285000,-20.689719,-20.618188,-0.071531,-811.197625,1.673248,1.602457,0
0.290000,-18.717305,-18.939004,0.221699,-840.623930,1.602457,1.529099,0
0.295000,-16.460004,-16.750265,0.290261,-784.349910,1.529099,1.460652,0
0.300000,-14.034625,-15.580924,1.546299,-915.870849,1.460652,1.380727,0
0.305000,-11.559327,-13.907778,2.348451,-948.604829,1.380727,1.297946,0
0.310000,-9.148608,-11.103833,1.955226,-794.178433,1.297946,1.228640,0
0.315000,-6.908477,-10.069063,3.160585,-887.339594,1.228640,1.151205,0
0.320000,-4.932024,-7.907163,2.975139,-753.815926,1.151205,1.085423,0
0.325000,-3.295541,-6.282492,2.986951,-646.315094,1.085423,1.029021,0
0.330000,-2.055396,-4.197668,2.142272,-422.427744,1.029021,0.992157,0
0.335000,-1.245749,-3.150716,1.904968,-299.479741,0.992157,0.966023,0
0.340000,-0.877232,-2.626406,1.749173,-199.980476,0.966023,0.948571,0
0.345000,-0.936644,-1.576550,0.639906,12.063544,0.948571,0.949624,0
0.350000,-1.387653,-1.576550,0.188897,125.094992,0.949624,0.960540,0
0.355000,-2.172505,-2.101654,-0.070851,201.655953,0.960540,0.978138,0
0.360000,-3.214642,-2.626406,-0.588236,299.287645,0.978138,1.004256,0
0.365000,-4.422134,-3.150716,-1.271418,405.710785,1.004256,1.039661,0
0.370000,-5.691776,-4.197668,-1.494107,432.547903,1.039661,1.077408,0
0.375000,-6.913676,-5.762633,-1.151043,354.722208,1.077408,1.108363,0
0.380000,-7.976149,-6.282492,-1.693657,376.068552,1.108363,1.141181,0
0.385000,-8.770703,-7.386043,-1.384660,249.307779,1.141181,1.162938,0
0.390000,-9.196910,-7.907163,-1.289748,131.102097,1.162938,1.174378,0
0.395000,-9.166967,-8.426969,-0.739998,-70.969275,1.174378,1.168185,0
0.400000,-8.609740,-7.907163,-0.702578,-203.644306,1.168185,1.150414,0
0.405000,-7.474132,-7.907163,0.433031,-497.811358,1.150414,1.106972,0
0.410000,-5.731627,-6.340192,0.608564,-628.432122,1.106972,1.052131,0
0.415000,-3.377908,-4.720137,1.342229,-809.993867,1.052131,0.981445,0
0.420000,-0.433469,-3.150716,2.717247,-1026.355935,0.981445,0.891879,0
0.425000,3.056794,0.520856,2.535938,-974.659825,0.891879,0.806824,0
0.430000,7.025013,2.602562,4.422451,-1157.382086,0.806824,0.705823,0
0.435000,11.382724,6.282492,5.100232,-1160.347957,0.705823,0.604564,0
0.440000,16.024114,10.491477,5.532637,-1120.160363,0.604564,0.506811,0
0.445000,20.829986,14.162168,6.667818,-1156.460704,0.506811,0.405891,0
0.450000,25.672298,18.434949,7.237349,-1211.744325,0.405891,0.300146,0
0.455000,30.419071,23.540039,6.879032,-1142.828695,0.300146,0.200416,0
0.460000,34.939485,27.734191,7.205295,-1127.098205,0.200416,0.102058,0
0.465000,39.108936,31.675469,7.433468,-1119.900721,0.102058,0.004328,0
0.470000,42.813853,35.417055,7.396798,-1074.607242,0.004328,-0.089449,0
0.475000,45.956079,38.740964,7.215116,-1203.024007,-0.089449,-0.194433,0
0.480000,48.456635,42.797402,5.659233,-992.015131,-0.194433,-0.281003,0
0.485000,50.258704,45.364936,4.893768,-809.049520,-0.281003,-0.351605,0
0.490000,51.329730,47.935673,3.394056,-527.779155,-0.351605,-0.397663,0
0.495000,51.662526,49.398705,2.263820,-146.908383,-0.397663,-0.410483,0
