t,ref_now_deg,ref_aligned_deg,meas_deg,meas_lag1_deg,err_aligned_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,1.569182,nan,0.000000,0.412193,nan,-655.460857,1.614839,1.557639,0
0.005000,3.128689,1.569182,0.412193,2.060111,1.156989,-832.120801,1.557639,1.485023,0
0.010000,4.668907,3.128689,2.060111,4.114909,1.068578,-795.648381,1.485023,1.415589,0
0.015000,6.180340,4.668907,4.114909,5.792796,0.553998,-693.822096,1.415589,1.355042,0
0.020000,7.653669,6.180340,5.792796,7.485039,0.387543,-650.978960,1.355042,1.298233,0
0.025000,9.079810,7.653669,7.485039,8.714733,0.168630,-586.453584,1.298233,1.247056,0
0.030000,10.449971,9.079810,8.714733,9.936390,0.365077,-574.141843,1.247056,1.196952,0
0.035000,11.755705,10.449971,9.936390,11.228892,0.513581,-536.741906,1.196952,1.150113,0
0.040000,12.988961,11.755705,11.228892,12.528808,0.526813,-479.385928,1.150113,1.108278,0
0.045000,14.142136,12.988961,12.528808,13.736268,0.460153,-427.407921,1.108278,1.070980,0
0.050000,15.208119,14.142136,13.736268,14.638279,0.405867,-393.196158,1.070980,1.036667,0
0.055000,16.180340,15.208119,14.638279,15.832387,0.569841,-400.750002,1.036667,1.001695,0
0.060000,17.052803,16.180340,15.832387,16.342883,0.347953,-342.430446,1.001695,0.971813,0
0.065000,17.820130,17.052803,16.342883,17.255111,0.709921,-372.510156,0.971813,0.939305,0
0.070000,18.477591,17.820130,17.255111,18.043412,0.565019,-308.248242,0.939305,0.912405,0
0.075000,19.021130,18.477591,18.043412,18.566060,0.434179,-239.260773,0.912405,0.891526,0
0.080000,19.447398,19.021130,18.566060,19.348472,0.455070,-193.819274,0.891526,0.874612,0
0.085000,19.753767,19.447398,19.348472,19.486130,0.098927,-82.497640,0.874612,0.867412,0
0.090000,19.938347,19.753767,19.486130,19.876872,0.267637,-61.699622,0.867412,0.862028,0
0.095000,20.000000,19.938347,19.876872,19.876872,0.061474,23.738258,0.862028,0.864100,0
0.100000,19.938347,20.000000,19.876872,19.486130,0.123128,62.877527,0.864100,0.869587,0
0.105000,19.753767,19.938347,19.486130,19.486130,0.452217,55.542749,0.869587,0.874434,0
0.110000,19.447398,19.753767,19.486130,18.958183,0.267637,136.116858,0.874434,0.886312,0
0.115000,19.021130,19.447398,18.958183,18.566060,0.489215,145.848705,0.886312,0.899040,0
0.120000,18.477591,19.021130,18.566060,18.172126,0.455070,198.240653,0.899040,0.916340,0
0.125000,17.820130,18.477591,18.172126,17.650124,0.305465,268.203384,0.916340,0.939745,0
0.130000,17.052803,17.820130,17.650124,16.738759,0.170006,330.648102,0.939745,0.968599,0
0.135000,16.180340,17.052803,16.738759,16.342883,0.314045,335.159497,0.968599,0.997848,0
0.140000,15.208119,16.180340,16.342883,15.435862,-0.162543,433.944585,0.997848,1.035716,0
0.145000,14.142136,15.208119,15.435862,14.136062,-0.227743,446.511259,1.035716,1.074682,0
0.150000,12.988961,14.142136,14.136062,12.840679,0.006074,411.493994,1.074682,1.110591,0
0.155000,11.755705,12.988961,12.840679,12.439562,0.148282,406.710621,1.110591,1.146084,0
0.160000,10.449971,11.755705,12.439562,10.341645,-0.683857,576.466030,1.146084,1.196390,0
0.165000,9.079810,10.449971,10.341645,9.462322,0.108326,506.770361,1.196390,1.240614,0
0.170000,7.653669,9.079810,9.462322,7.895765,-0.382512,645.717596,1.240614,1.296963,0
0.175000,6.180340,7.653669,7.895765,6.203448,-0.242096,664.672439,1.296963,1.354967,0
0.180000,4.668907,6.180340,6.203448,4.557419,-0.023108,641.349418,1.354967,1.410935,0
0.185000,3.128689,4.668907,4.557419,3.293965,0.111488,619.040707,1.410935,1.464957,0
0.190000,1.569182,3.128689,3.293965,1.648345,-0.165276,666.069143,1.464957,1.523082,0
0.195000,-0.000000,1.569182,1.648345,0.412193,-0.079163,653.246469,1.523082,1.580089,0
0.200000,-1.569182,-0.000000,0.412193,-1.236408,-0.412193,717.000592,1.580089,1.642659,0
0.205000,-3.128689,-1.569182,-1.236408,-2.882963,-0.332774,714.457803,1.642659,1.705007,0
0.210000,-4.668907,-3.128689,-2.882963,-4.114909,-0.245726,712.750160,1.705007,1.767206,0
0.215000,-6.180340,-4.668907,-4.114909,-5.343056,-0.553998,781.159737,1.767206,1.835375,0
0.220000,-7.653669,-6.180340,-5.343056,-6.972769,-0.837284,844.869691,1.835375,1.909104,0
0.225000,-9.079810,-7.653669,-6.972769,-8.246321,-0.680899,820.806724,1.909104,1.980733,0
0.230000,-10.449971,-9.079810,-8.246321,-9.936390,-0.833489,838.590813,1.980733,2.053914,0
0.235000,-11.755705,-10.449971,-9.936390,-10.745857,-0.513581,756.010830,2.053914,2.119888,0
0.240000,-12.988961,-11.755705,-10.745857,-12.439562,-1.009848,816.932884,2.119888,2.191179,0
0.245000,-14.142136,-12.988961,-12.439562,-12.932608,-0.549399,693.762595,2.191179,2.251721,0
0.250000,-15.208119,-14.142136,-12.932608,-14.136062,-1.209527,777.915460,2.251721,2.319607,0
0.255000,-16.180340,-15.208119,-14.136062,-15.037816,-1.072058,708.454650,2.319607,2.381432,0
0.260000,-17.052803,-16.180340,-15.037816,-15.720928,-1.142524,672.023245,2.381432,2.440077,0
0.265000,-17.820130,-17.052803,-15.720928,-16.620757,-1.331876,651.238442,2.440077,2.496908,0
0.270000,-18.477591,-17.820130,-16.620757,-17.012547,-1.199374,558.018194,2.496908,2.545604,0
0.275000,-19.021130,-18.477591,-17.012547,-17.525568,-1.465044,533.321367,2.545604,2.592145,0
0.280000,-19.447398,-19.021130,-17.525568,-17.525568,-1.495562,452.705721,2.592145,2.631651,0
0.285000,-19.753767,-19.447398,-17.525568,-17.916449,-1.921830,444.278004,2.631651,2.670422,0
0.290000,-19.938347,-19.753767,-17.916449,-18.434949,-1.837318,325.260804,2.670422,2.698806,0
0.295000,-20.000000,-19.938347,-18.434949,-18.434949,-1.503398,150.131142,2.698806,2.711908,0
0.300000,-19.938347,-20.000000,-18.434949,-18.434949,-1.565051,56.419088,2.711908,2.716831,0
0.305000,-19.753767,-19.938347,-18.434949,-18.434949,-1.503398,-60.528231,2.716831,2.711549,0
0.310000,-19.447398,-19.753767,-18.434949,-18.434949,-1.318818,-197.278466,2.711549,2.694333,0
0.315000,-19.021130,-19.447398,-18.434949,-17.916449,-1.012450,-349.656174,2.694333,2.663820,0
0.320000,-18.477591,-19.021130,-17.916449,-17.525568,-1.104681,-406.610991,2.663820,2.628337,0
0.325000,-17.820130,-18.477591,-17.525568,-17.650124,-0.952022,-502.658932,2.628337,2.584471,0
0.330000,-17.052803,-17.820130,-17.650124,-17.132996,-0.170006,-711.437733,2.584471,2.522387,0
0.335000,-16.180340,-17.052803,-17.132996,-16.227361,0.080193,-788.792962,2.522387,2.453551,0
0.340000,-15.208119,-16.180340,-16.227361,-15.326918,0.047021,-795.933464,2.453551,2.384093,0
0.345000,-14.142136,-15.208119,-15.326918,-14.534455,0.118799,-818.121251,2.384093,2.312699,0
0.350000,-12.988961,-14.142136,-14.534455,-13.736268,0.392319,-875.743834,2.312699,2.236276,0
0.355000,-11.755705,-12.988961,-13.736268,-12.037202,0.747307,-946.162684,2.236276,2.153707,0
0.360000,-10.449971,-11.755705,-12.037202,-11.148990,0.281497,-860.102220,2.153707,2.078649,0
0.365000,-9.079810,-10.449971,-11.148990,-9.057888,0.699018,-944.062449,2.078649,1.996264,0
0.370000,-7.653669,-9.079810,-9.057888,-7.839263,-0.021922,-805.615344,1.996264,1.925961,0
0.375000,-6.180340,-7.653669,-7.839263,-6.566299,0.185595,-833.443192,1.925961,1.853229,0
0.380000,-4.668907,-6.180340,-6.566299,-5.343056,0.385959,-844.654772,1.853229,1.779519,0
0.385000,-3.128689,-4.668907,-5.343056,-3.704627,0.674148,-859.952973,1.779519,1.704474,0
0.390000,-1.569182,-3.128689,-3.704627,-1.648345,0.575938,-801.842416,1.704474,1.634500,0
0.395000,0.000000,-1.569182,-1.648345,-0.412193,0.079163,-681.297322,1.634500,1.575046,0
0.400000,1.569182,0.000000,-0.412193,1.236408,0.412193,-715.721443,1.575046,1.512587,0
0.405000,3.128689,1.569182,1.236408,2.471665,0.332774,-682.637598,1.512587,1.453016,0
0.410000,4.668907,3.128689,2.471665,4.114909,0.657025,-724.950977,1.453016,1.389752,0
0.415000,6.180340,4.668907,4.114909,6.203448,0.553998,-696.687214,1.389752,1.328955,0
0.420000,7.653669,6.180340,6.203448,7.895765,-0.023108,-580.312960,1.328955,1.278313,0
0.425000,9.079810,7.653669,7.895765,8.714733,-0.242096,-510.156476,1.278313,1.233793,0
0.430000,10.449971,9.079810,8.714733,10.416028,0.365077,-566.013165,1.233793,1.184399,0
0.435000,11.755705,10.449971,10.416028,11.309932,0.033943,-447.572955,1.184399,1.145341,0
0.440000,12.988961,11.755705,11.309932,12.439562,0.445773,-463.824996,1.145341,1.104865,0
0.445000,14.142136,12.988961,12.439562,13.736268,0.549399,-441.732204,1.104865,1.066316,0
0.450000,15.208119,14.142136,13.736268,14.534455,0.405867,-394.827091,1.066316,1.031861,0
0.455000,16.180340,15.208119,14.534455,15.832387,0.673664,-420.446895,1.031861,0.995170,0
0.460000,17.052803,16.180340,15.832387,16.738759,0.347953,-345.224688,0.995170,0.965044,0
0.465000,17.820130,17.052803,16.738759,17.255111,0.314045,-306.575882,0.965044,0.938290,0
