t,ref_now_deg,meas_deg,err_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible
0.000000,0.188491,2.924978,-2.736487,18.263501,1.069250,1.101126,0
1.000057,2.569789,2.090159,0.479630,-0.170354,1.101126,1.100026,0
1.752889,4.162689,2.090159,2.072529,-0.336638,1.100026,1.097177,0
2.474492,5.575064,2.507702,3.067362,-0.333604,1.097177,1.093941,0
3.196757,6.897976,2.507702,4.390274,-0.368074,1.093941,1.090049,0
3.950771,8.197548,2.507702,5.689846,-0.382704,1.090049,1.085706,0
4.672974,9.334173,2.507702,6.826472,-0.410815,1.085706,1.080888,0
5.395185,10.380523,2.924978,7.455545,-0.412876,1.080888,1.075938,0
6.116512,11.330806,2.924978,8.405828,-0.437327,1.075938,1.070616,0
6.870308,12.228228,2.924978,9.303250,-0.441940,1.070616,1.065107,0
7.591850,12.966695,3.341944,9.624752,-0.443591,1.065107,1.059560,0
8.344923,13.629901,3.341944,10.287957,-0.443712,1.059560,1.053927,0
9.099154,14.166439,3.758556,10.407884,-0.425155,1.053927,1.048470,0
9.820839,14.552889,3.758556,10.794333,-0.438866,1.048470,1.042868,0
10.549589,14.824107,3.758556,11.065552,-0.441525,1.042868,1.037238,0
11.270895,14.970244,3.731397,11.238847,-0.443664,1.037238,1.031603,0
12.024842,14.991965,4.174770,10.817196,-0.404819,1.031603,1.026405,0
12.747159,14.886677,4.174770,10.711907,-0.399323,1.026405,1.021306,0
13.469854,14.659498,4.590543,10.068955,-0.372161,1.021306,1.016571,0
14.192300,14.312119,4.590543,9.721576,-0.355797,1.016571,1.012057,0
14.915092,13.846747,4.590543,9.256204,-0.334861,1.012057,1.007815,0
15.676996,13.222297,5.005833,8.216464,-0.280160,1.007815,1.004214,0
16.399176,12.530440,5.005833,7.524607,-0.257694,1.004214,1.000920,0
17.121822,11.734451,5.042451,6.692000,-0.229173,1.000920,0.998003,0
17.843730,10.842653,5.420595,5.422058,-0.185474,0.998003,0.995649,0
18.565231,9.862033,5.460213,4.401820,-0.150386,0.995649,0.993745,0
19.286191,8.801077,5.460213,3.340865,-0.114024,0.993745,0.992304,0
20.009270,7.663081,5.420595,2.242486,-0.076261,0.992304,0.991340,0
20.737841,6.449610,5.460213,0.989398,-0.033344,0.991340,0.990918,0
21.460015,5.197368,5.460213,-0.262845,0.008879,0.990918,0.991031,0
22.179939,3.907283,5.381547,-1.474264,0.050092,0.991031,0.991663,0
22.901486,2.580707,5.460213,-2.879506,0.098229,0.991663,0.992901,0
23.655370,1.153719,5.460213,-4.306493,0.142026,0.992901,0.994716,0
24.376757,-0.198939,5.460213,-5.659151,0.190222,0.994716,0.997135,0
25.097167,-1.549382,5.460213,-7.009594,0.240050,0.997135,1.000178,0
25.818672,-2.891249,5.042451,-7.933700,0.276237,1.000178,1.003673,0
26.571757,-4.284453,5.005833,-9.290285,0.316525,1.003673,1.007724,0
27.293273,-5.562240,5.005833,-10.568072,0.370625,1.007724,1.012445,0
28.017538,-6.802567,5.005833,-11.808400,0.424231,1.012445,1.017836,0
28.738489,-7.980759,4.590543,-12.571302,0.464893,1.017836,1.023726,0
29.459846,-9.095639,4.590543,-13.686182,0.520508,1.023726,1.030309,0
30.182438,-10.138923,4.174770,-14.313693,0.559721,1.030309,1.037382,0
30.904136,-11.097557,4.174770,-15.272327,0.615605,1.037382,1.045153,0
31.626368,-11.966176,3.758556,-15.724731,0.654325,1.045153,1.053409,0
32.347700,-12.735313,3.341944,-16.077257,0.692492,1.053409,1.062142,0
33.069219,-13.400358,3.341944,-16.742302,0.747206,1.062142,1.071560,0
33.790229,-13.955006,3.341944,-17.296950,0.802030,1.071560,1.081664,0
34.511796,-14.395726,2.924978,-17.320704,0.835275,1.081664,1.092186,0
35.232453,-14.717772,2.507702,-17.225473,0.865460,1.092186,1.103084,0
35.994956,-14.929599,2.090159,-17.019758,0.846833,1.103084,1.113928,0
36.747300,-14.999979,1.672394,-16.672373,0.843010,1.113928,1.124806,0
37.501678,-14.934222,1.672394,-16.606616,0.855792,1.124806,1.135917,0
38.224210,-14.747680,1.254452,-16.002131,0.876623,1.135917,1.147200,0
38.946952,-14.440665,0.836375,-15.277040,0.881520,1.147200,1.158478,0
39.668215,-14.016465,0.836375,-14.852840,0.897703,1.158478,1.169908,0
40.388864,-13.478106,0.418210,-13.896316,0.875120,1.169908,1.181009,0
41.150154,-12.777439,0.000000,-12.777439,0.793550,1.181009,1.191219,0
41.902625,-11.973286,0.000000,-11.973286,0.747465,1.191219,1.200896,0
42.624412,-11.113240,-0.418210,-10.695030,0.697814,1.200896,1.209857,0
43.345969,-10.161261,-0.836375,-9.324886,0.629760,1.209857,1.217898,0
44.068386,-9.123195,-0.418210,-8.704985,0.603068,1.217898,1.225568,0
44.789640,-8.011661,-0.836375,-7.175286,0.508158,1.225568,1.232012,0
