t,ref_now_deg,ref_aligned_deg,meas_deg,meas_lag1_deg,err_raw_deg,err_aligned_deg,u0_deg_s,psi_now_rad,psi_cmd_rad,qp_infeasible,rmse_aligned
0.000000,1.569182,nan,0.000000,1.332220,1.569182,nan,-404.395105,2.377161,2.341871,0,1.743058
0.005000,3.128689,1.569182,1.332220,2.219656,1.796469,0.236962,-441.156795,2.341871,2.303373,0,1.743058
0.010000,4.668907,3.128689,2.219656,3.106027,2.449252,0.909034,-535.889703,2.303373,2.256608,0,1.743058
0.015000,6.180340,4.668907,3.106027,3.990913,3.074313,1.562880,-616.584726,2.256608,2.202800,0,1.743058
0.020000,7.653669,6.180340,3.990913,6.193905,3.662756,2.189427,-677.548126,2.202800,2.143673,0,1.743058
0.025000,9.079810,7.653669,6.193905,7.125016,2.885905,1.459764,-534.550380,2.143673,2.097025,0,1.743058
0.030000,10.449971,9.079810,7.125016,8.443191,3.324955,1.954794,-574.691844,2.097025,2.046873,0,1.743058
0.035000,11.755705,10.449971,8.443191,9.752425,3.312514,2.006780,-559.085736,2.046873,1.998084,0,1.743058
0.040000,12.988961,11.755705,9.752425,10.701351,3.236536,2.003280,-546.204031,1.998084,1.950419,0,1.743058
0.045000,14.142136,12.988961,10.701351,nan,3.440785,2.287610,-582.594327,1.950419,1.899578,0,1.743058
